step,train_loss,val_bpb
200,9.586115,2.603882
400,7.625957,2.180523
600,7.016252,2.101019
800,6.795374,2.055244
1000,6.674221,2.021917
1200,6.592086,1.999578
1400,6.526741,1.987801
1600,6.455354,1.971710
1800,6.428240,1.962576
2000,6.397570,1.952905
2200,6.362482,1.947751
2400,6.340658,1.937967
2600,6.329507,1.930496
2800,6.299380,1.927059
3000,6.280333,1.920831
3200,6.265019,1.912744
3400,6.230574,1.908835
3600,6.233102,1.905421
3800,6.214210,1.900058
4000,6.184955,1.895370
4200,6.185804,1.890645
4400,6.177430,1.887852
4600,6.160427,1.883437
4800,6.165139,1.880251
5000,6.139567,1.873799
5200,6.106724,1.869264
5400,6.088621,1.865681
5600,6.095901,1.862552
5800,6.077336,1.859435
6000,6.066140,1.855674
6200,6.052315,1.854126
6400,6.040946,1.850526
