step,train_loss,val_bpb
200,9.676936,2.805578
400,8.367850,2.394934
600,7.802335,2.363483
800,7.548715,2.270172
1000,7.225030,2.169303
1200,7.001329,2.108283
1400,6.854094,2.076172
1600,6.739897,2.051588
1800,6.679315,2.035007
2000,6.633042,2.023085
2200,6.581260,2.010812
2400,6.545806,2.000453
2600,6.530644,1.991159
2800,6.496065,1.983216
3000,6.468122,1.975804
3200,6.446267,1.967271
3400,6.408687,1.963839
3600,6.409581,1.958815
3800,6.388422,1.952676
4000,6.359743,1.948070
4200,6.355795,1.943797
4400,6.349030,1.941079
4600,6.332742,1.935156
4800,6.336251,1.932491
5000,6.316123,1.926449
5200,6.280042,1.923473
5400,6.266169,1.918964
5600,6.275609,1.917239
5800,6.259319,1.914597
6000,6.249619,1.910894
6200,6.236699,1.910756
6400,6.227326,1.905742
6600,6.232450,1.904036
6800,6.221190,1.902497
7000,6.218464,1.901865
7200,6.211619,1.899732
7400,6.214225,1.898946
7600,6.195207,1.897975
7800,6.198018,1.895624
8000,6.190530,1.895620
