step,train_loss,val_bpb
200,9.103687,2.438734
400,7.682405,2.235811
600,7.083811,2.105053
800,6.809949,2.055630
1000,6.656844,2.014529
1200,6.554472,1.988793
1400,6.471416,1.969216
1600,6.386878,1.950830
1800,6.341490,1.933286
2000,6.294448,1.921218
2200,6.239405,1.912308
2400,6.214690,1.901132
2600,6.188926,1.891928
2800,6.139593,1.877705
3000,6.103769,1.868125
3200,6.077882,1.855628
3400,6.033933,1.851271
3600,6.033635,1.847476
3800,6.002820,1.841297
4000,5.968040,1.834711
4200,5.966791,1.827896
4400,5.952882,1.823325
4600,5.930733,1.817482
4800,5.930138,1.812346
5000,5.899494,1.807133
5200,5.874888,1.802989
5400,5.847931,1.802581
5600,5.867180,1.795921
5800,5.843899,1.793880
6000,5.832138,1.791221
6200,5.820607,1.788401
6400,5.809060,1.785082
6600,5.807419,1.782432
6800,5.793590,1.780264
7000,5.792781,1.778958
7200,5.791351,1.778044
7400,5.787415,1.776428
7600,5.770090,1.773851
7800,5.773554,1.773294
8000,5.764518,1.772193
