step,train_loss,val_bpb
200,9.105965,2.438906
400,7.676255,2.232002
600,7.082626,2.104833
800,6.810882,2.055875
1000,6.659220,2.016199
1200,6.558954,1.989625
1400,6.476724,1.968408
1600,6.391756,1.949982
1800,6.346628,1.936188
2000,6.297089,1.923010
2200,6.240848,1.909333
2400,6.209751,1.899992
2600,6.184124,1.888723
2800,6.136814,1.877061
3000,6.096654,1.866421
3200,6.072439,1.856665
3400,6.029413,1.850668
3600,6.025429,1.846526
3800,5.993740,1.839649
4000,5.957920,1.831378
4200,5.956150,1.826636
4400,5.942327,1.821612
4600,5.919573,1.814534
4800,5.918292,1.809643
5000,5.886937,1.803833
5200,5.859653,1.799290
5400,5.831844,1.797000
