step,train_loss,val_bpb
200,10.028857,2.772126
400,7.892270,2.240425
600,7.172095,2.123150
800,6.837749,2.054305
1000,6.642559,2.004652
1200,6.523959,1.975912
1400,6.432706,1.955030
1600,6.343661,1.935597
1800,6.300584,1.922728
2000,6.250868,1.910688
2200,6.197224,1.899370
2400,6.172373,1.889629
2600,6.144411,1.878175
2800,6.103900,1.870450
3000,6.074001,1.862266
3200,6.054713,1.853256
3400,6.014421,1.848653
3600,6.019514,1.844163
3800,5.991765,1.839882
4000,5.961740,1.833822
4200,5.966924,1.830004
4400,5.960727,1.827700
4600,5.942116,1.824098
4800,5.948318,1.821777
