step,train_loss,val_bpb
200,9.041101,2.411818
400,7.558292,2.197878
600,7.021230,2.091094
800,6.756645,2.036319
1000,6.594904,1.996117
1200,6.489440,1.967960
1400,6.405154,1.943990
1600,6.318066,1.927786
1800,6.274039,1.911883
2000,6.222890,1.903599
2200,6.162896,1.889923
2400,6.131531,1.875490
2600,6.097208,1.861381
2800,6.048797,1.847235
3000,6.005224,1.837897
3200,5.978888,1.827308
3400,5.926905,1.816979
3600,5.911530,1.808551
3800,5.876855,1.803512
4000,5.832167,1.790686
4200,5.828783,1.786031
4400,5.812866,1.779190
4600,5.786370,1.770391
4800,5.781789,1.768156
5000,5.748112,1.759588
5200,5.718171,1.756592
5400,5.690915,1.750604
5600,5.708971,1.746863
5800,5.682766,1.744395
6000,5.669838,1.740103
6200,5.656475,1.736931
6400,5.645648,1.734045
6600,5.641759,1.731535
6800,5.627949,1.730491
7000,5.629469,1.728138
7200,5.625406,1.726480
7400,5.621456,1.725806
7600,5.604716,1.724274
7800,5.609274,1.722122
8000,5.599875,1.720627
