step,train_loss,val_bpb
200,8.989254,2.413112
400,7.573513,2.200362
600,7.066034,2.114091
800,6.829788,2.063880
1000,6.688733,2.025792
1200,6.601860,2.004321
1400,6.523552,1.987696
1600,6.467304,1.975978
1800,6.522424,2.009518
2000,6.605164,1.972914
2200,6.398367,1.946115
2400,6.327132,1.927832
2600,6.290170,1.915668
2800,6.247190,1.909349
3000,6.213577,1.899795
3200,6.178713,1.886857
3400,6.132533,1.881058
3600,6.133034,1.873862
3800,6.098153,1.866482
4000,6.059599,1.859890
4200,6.058712,1.853947
4400,6.040442,1.847591
4600,6.017051,1.839727
4800,6.014497,1.835393
5000,5.981435,1.829504
5200,5.952245,1.823755
5400,5.924475,1.820280
5600,5.938442,1.816775
5800,5.914542,1.814185
6000,5.901874,1.809923
6200,5.890203,1.807587
6400,5.877465,1.805004
6600,5.874294,1.801342
6800,5.859328,1.799903
7000,5.857816,1.797429
7200,5.855577,1.796487
7400,5.851600,1.795717
7600,5.832594,1.793227
7800,5.835659,1.791210
8000,5.826858,1.790665
