step,train_loss,val_bpb
200,8.587831,2.347063
400,7.565992,2.239751
600,7.088775,2.102112
800,6.782102,2.039865
1000,6.619755,2.000652
1200,6.520597,1.973061
1400,6.439131,1.959726
1600,6.348961,1.937427
1800,6.301701,1.919615
2000,6.241878,1.902373
2200,6.174218,1.886798
2400,6.132208,1.871544
2600,6.101109,1.857572
2800,6.195792,2.081485
3000,6.306127,1.878802
3200,6.047713,1.826985
3400,5.949531,1.819077
3600,5.934848,1.813064
3800,5.897401,1.803513
4000,5.855526,1.795504
4200,5.851465,1.790214
4400,5.839821,1.784416
4600,5.815914,1.778039
4800,5.813789,1.772802
5000,5.781914,1.765875
5200,5.749731,1.761055
5400,5.724453,1.758724
5600,5.742446,1.754824
5800,5.715807,1.752167
6000,5.705685,1.748321
6200,5.691783,1.743825
6400,5.676982,1.742527
