exp154 LUT weight analysis — init noise std=0.001, dead cutoff=0.01
layer       role    #LUTs  #entr/LUT  #outs   total_ents       dead   dead%     mean      max
    0   qk_joint     2304        256     64       589824        256    0.0%    0.122    0.211
    0      v_lut     1536        256     32       393216        129    0.0%    0.086    0.236
    0   out_proj     3056         64     64       195584          0    0.0%    0.121    0.242
    1   qk_joint     2304        256     64       589824        192    0.0%     0.12    0.251
    1      v_lut     1536        256     32       393216        352    0.1%   0.0833    0.228
    1   out_proj     3056         64     64       195584          0    0.0%    0.122    0.214
    2   qk_joint     2304        256     64       589824        160    0.0%    0.115     0.24
    2      v_lut     1536        256     32       393216        144    0.0%   0.0793    0.216
    2   out_proj     3056         64     64       195584          0    0.0%    0.121    0.302
    3   qk_joint     2304        256     64       589824        385    0.1%    0.107    0.253
    3      v_lut     1536        256     32       393216         97    0.0%   0.0734    0.289
    3   out_proj     3056         64     64       195584        100    0.1%    0.115    0.617
    4   qk_joint     2304        256     64       589824        354    0.1%   0.0914    0.238
    4      v_lut     1536        256     32       393216       1229    0.3%   0.0607     0.23
    4   out_proj     3056         64     64       195584        643    0.3%    0.106    0.436
    5   qk_joint     2304        256     64       589824       5082    0.9%   0.0742    0.237
    5      v_lut     1536        256     32       393216      13263    3.4%   0.0475    0.222
    5   out_proj     3056         64     64       195584       7661    3.9%   0.0845     0.21
