step,train_loss,val_bpb
200,8.383025,2.359736
400,7.458461,2.181361
600,6.943615,2.072426
800,6.674607,2.009932
1000,6.503695,1.963720
1200,6.390172,1.933768
1400,6.304231,1.916096
1600,6.212608,1.893878
1800,6.166015,1.878213
2000,6.109484,1.860633
2200,6.042761,1.848313
2400,6.006009,1.829396
2600,5.953387,1.811442
2800,5.892485,1.796489
3000,5.832733,1.781814
3200,5.789393,1.764433
3400,5.731800,1.756536
3600,5.723883,1.748912
3800,5.680527,1.739187
4000,5.630902,1.729965
4200,5.626820,1.725048
4400,5.614458,1.718948
4600,5.583492,1.710586
4800,5.578674,1.704847
5000,5.549118,1.698599
5200,5.518021,1.693643
5400,5.487377,1.688796
5600,5.505850,1.684035
5800,5.479497,1.681118
6000,5.470082,1.676744
6200,5.453511,1.672976
6400,5.440043,1.669583
6600,5.434962,1.666719
6800,5.420300,1.664509
7000,5.421040,1.663211
7200,5.416544,1.661783
7400,5.413541,1.659649
7600,5.393052,1.657151
7800,5.397348,1.655931
8000,5.387344,1.655158
