step,train_loss,val_bpb
200,8.846666,2.365736
400,7.656250,2.219647
600,6.985632,2.071341
800,6.703612,2.021122
1000,6.561695,1.985936
1200,6.467549,1.959643
1400,6.375084,1.936890
1600,6.261368,1.905717
1800,6.198121,1.885912
2000,6.131153,1.867748
2200,6.059109,1.850410
2400,6.020496,1.836903
2600,5.984082,1.821223
2800,5.934153,1.811303
3000,5.890311,1.799731
3200,5.864106,1.786912
3400,5.814906,1.781440
3600,5.811936,1.777178
3800,5.775435,1.768337
4000,5.734240,1.759048
4200,5.732088,1.754841
4400,5.721045,1.749021
4600,5.696473,1.743689
4800,5.692293,1.738519
5000,5.664961,1.732228
5200,5.632277,1.726505
5400,5.606452,1.722650
5600,5.627068,1.716929
5800,5.600721,1.715691
6000,5.590782,1.711241
6200,5.576672,1.707779
6400,5.562274,1.704825
6600,5.561128,1.701368
6800,5.546398,1.700097
7000,5.547915,1.698808
7200,5.542587,1.697634
7400,5.541147,1.695764
7600,5.520598,1.693197
7800,5.524439,1.691351
8000,5.514337,1.691447
