step,train_loss,val_bpb
200,8.369005,2.343744
400,7.247468,2.091158
600,6.741684,2.015191
800,6.540194,1.980425
1000,6.416170,1.946418
1200,6.322981,1.914262
1400,6.223075,1.887041
1600,6.104234,1.859164
1800,6.037060,1.835081
2000,5.970794,1.820153
2200,5.900076,1.807371
2400,5.869128,1.791168
2600,5.831499,1.776862
2800,5.783500,1.768724
3000,5.744597,1.758621
3200,5.718017,1.745633
3400,5.669393,1.741428
3600,5.669676,1.735865
3800,5.631818,1.727090
4000,5.589382,1.718110
4200,5.588760,1.713892
4400,5.581328,1.709260
4600,5.553409,1.701377
4800,5.551071,1.696800
5000,5.522383,1.691688
5200,5.492862,1.686304
5400,5.465092,1.682085
5600,5.485733,1.678006
5800,5.460281,1.674812
6000,5.452612,1.671060
6200,5.437209,1.668059
6400,5.423897,1.664919
6600,5.419668,1.662435
6800,5.404848,1.660868
7000,5.407311,1.658093
7200,5.402260,1.656662
7400,5.400965,1.655145
7600,5.381816,1.652453
7800,5.388208,1.651406
8000,5.376027,1.650984
