step,train_loss,val_bpb
200,8.334203,2.346214
400,7.278851,2.108557
600,6.759523,2.019683
800,6.554835,1.986077
1000,6.438226,1.953854
1200,6.351564,1.924601
1400,6.271391,1.903606
1600,6.178168,1.883988
1800,6.118875,1.859497
2000,6.044934,1.842077
2200,5.965023,1.825372
2400,5.928170,1.806842
2600,5.885011,1.791940
2800,5.836232,1.781328
3000,5.792286,1.770888
3200,5.761551,1.756755
3400,5.712406,1.753727
3600,5.711744,1.748513
3800,5.673408,1.739817
4000,5.628586,1.729758
4200,5.628279,1.726341
4400,5.618781,1.721270
4600,5.590757,1.712102
