step,train_loss,val_bpb
200,8.237483,2.309318
400,7.138266,2.068745
600,6.680638,1.999746
800,6.493235,1.968143
1000,6.367892,1.928281
1200,6.250822,1.886481
1400,6.134244,1.855507
1600,6.019291,1.833917
1800,5.963713,1.813423
2000,5.899285,1.799274
2200,5.830376,1.784448
2400,5.805841,1.769321
2600,5.766621,1.756484
2800,5.720303,1.746702
3000,5.680229,1.738922
3200,5.652000,1.723567
3400,5.604261,1.718878
3600,5.602202,1.716872
3800,5.564095,1.709248
4000,5.520503,1.698011
4200,5.524360,1.694225
4400,5.513684,1.688475
4600,5.486198,1.682407
4800,5.485287,1.678360
5000,5.454188,1.671903
5200,5.426681,1.666495
5400,5.398644,1.661966
5600,5.420588,1.656761
5800,5.394320,1.654615
6000,5.384980,1.651072
6200,5.371120,1.647548
6400,5.357793,1.644126
6600,5.351851,1.641134
6800,5.338952,1.639259
7000,5.341497,1.638490
7200,5.336264,1.635381
7400,5.333006,1.634750
7600,5.314648,1.632345
7800,5.321082,1.630658
8000,5.310199,1.631628
