step,train_loss,val_bpb
200,9.007193,2.417340
400,7.561913,2.197881
600,7.053042,2.109460
800,6.865362,2.085702
1000,6.793985,2.066763
1200,6.771185,2.064497
1400,6.752336,2.067144
1600,6.731875,2.060914
1800,6.739419,2.062202
2000,6.734682,2.057891
2200,6.724161,2.060250
2400,6.717199,2.057508
2600,6.730308,2.053858
2800,6.701597,2.052171
3000,6.692667,2.045417
3200,6.693318,2.045786
3400,6.683507,2.049904
3600,6.698136,2.046906
3800,6.679334,2.047218
4000,6.673050,2.043194
4200,6.671043,2.038927
4400,6.668607,2.036434
4600,6.655612,2.032759
4800,6.672148,2.033535
5000,6.655567,2.031686
5200,6.623375,2.027457
5400,6.620270,2.029695
5600,6.631198,2.024047
5800,6.613303,2.022734
6000,6.605560,2.019190
6200,6.590625,2.016823
6400,6.580803,2.014806
6600,6.592142,2.013014
6800,6.580118,2.011207
7000,6.580087,2.011720
7200,6.573667,2.012326
7400,6.575288,2.010298
7600,6.562358,2.008766
7800,6.562114,2.006811
8000,6.556517,2.006730
