step,train_loss,val_bpb
200,8.900210,2.369673
400,7.366603,2.124711
600,6.851614,2.043714
800,6.646959,2.010106
1000,6.539142,1.990378
1200,6.466731,1.962471
1400,6.402031,1.948043
1600,6.325955,1.930414
1800,6.290040,1.918128
2000,6.247273,1.906429
2200,6.197236,1.897000
2400,6.171882,1.886154
2600,6.138098,1.869208
2800,6.084505,1.854690
3000,6.027292,1.840338
3200,5.980835,1.822466
3400,5.922077,1.813661
3600,5.905519,1.804624
3800,5.855691,1.792991
4000,5.808626,1.783023
4200,5.794775,1.774823
4400,5.771859,1.763231
4600,5.737950,1.754729
4800,5.728233,1.747295
5000,5.689675,1.738504
5200,5.653446,1.732327
5400,5.617548,1.726310
5600,5.628188,1.720759
5800,5.598696,1.716141
6000,5.583792,1.709892
6200,5.562289,1.705280
6400,5.543717,1.701152
6600,5.537498,1.697027
6800,5.521907,1.692928
7000,5.516976,1.691289
7200,5.510134,1.688297
7400,5.506471,1.686194
7600,5.484241,1.683891
7800,5.485607,1.681402
8000,5.473004,1.680649
