step,train_loss,val_bpb
200,8.914969,2.390223
400,7.455190,2.156527
600,6.915288,2.061280
800,6.686344,2.020026
1000,6.567002,1.990964
1200,6.495268,1.970762
1400,6.435425,1.957926
1600,6.369173,1.945307
1800,6.344436,1.934573
2000,6.312245,1.926218
2200,6.273178,1.918644
2400,6.257673,1.911064
2600,6.239128,1.901399
2800,6.204339,1.894625
3000,6.174483,1.886492
3200,6.155732,1.878659
3400,6.112499,1.871074
3600,6.110190,1.866596
3800,6.075773,1.858292
4000,6.033832,1.846843
4200,6.024909,1.839517
4400,6.006917,1.832713
4600,5.981298,1.826527
4800,5.975082,1.819590
5000,5.937829,1.812245
5200,5.902593,1.806258
5400,5.873041,1.802707
5600,5.884294,1.796694
5800,5.858673,1.793883
6000,5.847019,1.788071
6200,5.827943,1.785041
6400,5.813745,1.781155
