step,train_loss,val_bpb
200,9.583024,2.708738
400,7.965292,2.268993
600,7.192099,2.122100
800,6.851561,2.061632
1000,6.686570,2.024656
1200,6.602307,2.003834
1400,6.542719,1.990467
1600,6.475771,1.976711
1800,6.450931,1.965998
2000,6.421554,1.958929
2200,6.389667,1.952113
2400,6.374844,1.947092
2600,6.368257,1.940211
2800,6.340880,1.935427
3000,6.322983,1.930619
3200,6.309257,1.926262
3400,6.279588,1.923526
3600,6.287975,1.921061
3800,6.268697,1.918586
4000,6.248618,1.914907
4200,6.250155,1.910155
4400,6.245831,1.907201
4600,6.232546,1.904038
4800,6.243562,1.903214
5000,6.220484,1.899799
5200,6.193244,1.896048
5400,6.181330,1.893161
5600,6.193306,1.891225
5800,6.176277,1.889093
6000,6.168203,1.886791
6200,6.159170,1.885860
6400,6.149695,1.882837
6600,6.155559,1.880432
6800,6.144051,1.879539
7000,6.145159,1.879008
7200,6.139836,1.878546
7400,6.142583,1.876608
7600,6.124887,1.875915
7800,6.125150,1.874595
8000,6.117660,1.874085
