step,train_loss,val_bpb
200,9.064569,2.345485
400,7.586448,2.229573
600,7.078716,2.113722
800,6.833526,2.063529
1000,6.683104,2.022927
1200,6.588400,1.997533
1400,6.514612,1.982542
1600,6.434839,1.961349
1800,6.401761,1.949493
2000,6.363069,1.940107
2200,6.319402,1.933427
2400,6.292109,1.920327
2600,6.269381,1.911567
2800,6.231962,1.902424
3000,6.202444,1.895930
3200,6.176862,1.883629
3400,6.134447,1.878461
3600,6.130671,1.872961
3800,6.099135,1.866015
4000,6.061696,1.857705
4200,6.052263,1.848813
4400,6.034216,1.842007
4600,6.005504,1.833477
4800,5.996236,1.825302
5000,5.958717,1.817485
5200,5.916809,1.810464
5400,5.884944,1.805041
5600,5.889829,1.797637
5800,5.861261,1.793228
6000,5.844181,1.786932
6200,5.823435,1.783209
6400,5.806722,1.779245
6600,5.802791,1.775326
6800,5.787693,1.771649
7000,5.780805,1.769375
7200,5.773832,1.767192
7400,5.771386,1.765499
7600,5.750548,1.762806
7800,5.749564,1.761034
8000,5.737524,1.759853
