step,train_loss,val_bpb
200,9.063330,2.338698
400,7.551483,2.228775
600,7.073359,2.116497
800,6.817273,2.058655
1000,6.669642,2.019374
1200,6.574701,1.992005
1400,6.506068,1.978844
1600,6.427711,1.961096
1800,6.396474,1.950875
2000,6.355905,1.937250
2200,6.310558,1.929678
2400,6.279874,1.916726
2600,6.252603,1.905989
2800,6.206771,1.892622
3000,6.161234,1.879406
3200,6.117077,1.863081
3400,6.061185,1.853555
3600,6.047361,1.845473
3800,6.004487,1.838148
4000,5.958455,1.826555
4200,5.946508,1.816326
4400,5.926825,1.810187
4600,5.899521,1.801530
4800,5.894020,1.794516
5000,5.859540,1.787831
5200,5.823283,1.783078
5400,5.796260,1.777518
5600,5.805808,1.771280
5800,5.779911,1.767651
6000,5.769022,1.763087
6200,5.750757,1.760031
6400,5.736155,1.757663
6600,5.735312,1.753405
6800,5.721130,1.750425
7000,5.719155,1.748027
7200,5.713228,1.747293
7400,5.712900,1.744574
7600,5.691587,1.742757
7800,5.692175,1.740701
8000,5.681919,1.740094
