step,train_loss,val_bpb
200,8.231378,2.301249
400,7.060036,2.052811
600,6.657906,1.995124
800,6.486964,1.965180
1000,6.365410,1.927522
1200,6.240467,1.882045
1400,6.120518,1.853987
1600,6.009312,1.829724
1800,5.953466,1.812070
2000,5.890356,1.798647
2200,5.822819,1.783993
2400,5.798617,1.769606
2600,5.762815,1.756176
2800,5.714870,1.747287
3000,5.677037,1.740836
3200,5.651649,1.724502
3400,5.602368,1.720255
3600,5.601938,1.716506
3800,5.565310,1.707639
4000,5.521082,1.698231
4200,5.523957,1.693221
4400,5.515996,1.690485
4600,5.488055,1.681518
4800,5.485247,1.677895
5000,5.454780,1.671106
5200,5.426539,1.665112
5400,5.397467,1.660697
5600,5.418554,1.654737
5800,5.391908,1.652982
6000,5.383790,1.648529
6200,5.368682,1.645082
6400,5.355106,1.644190
6600,5.349290,1.639272
6800,5.335460,1.638102
7000,5.338750,1.636730
7200,5.332480,1.635013
7400,5.329059,1.633978
7600,5.310127,1.631766
7800,5.315944,1.629870
8000,5.306702,1.628979
