step,train_loss,val_bpb
200,8.232047,2.303446
400,7.086959,2.058507
600,6.669816,1.998635
800,6.493017,1.966656
1000,6.373212,1.932076
1200,6.259575,1.888970
1400,6.138566,1.858763
1600,6.019258,1.834285
1800,5.960964,1.814373
2000,5.896466,1.798669
2200,5.827760,1.787954
2400,5.800730,1.771175
2600,5.764031,1.755979
2800,5.716760,1.747723
3000,5.677409,1.739129
3200,5.650178,1.723521
3400,5.601256,1.720538
3600,5.598627,1.715245
3800,5.561899,1.707747
4000,5.518322,1.697447
4200,5.520515,1.694784
4400,5.511156,1.689798
4600,5.482076,1.681077
4800,5.477772,1.676679
5000,5.448593,1.669679
5200,5.420479,1.664890
5400,5.390014,1.660431
5600,5.411446,1.656167
5800,5.383677,1.653983
6000,5.374505,1.649755
6200,5.361647,1.646758
6400,5.348085,1.643916
6600,5.340914,1.640634
6800,5.326860,1.637944
7000,5.328639,1.635693
7200,5.322899,1.634164
7400,5.320663,1.632130
7600,5.300974,1.629556
7800,5.308211,1.628429
8000,5.296658,1.627906
