step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000
200,0.497216,0.497125,0.498400,0.498410,0.498013,0.497936,0.100430,0.499347,0.499091,0.499032,0.498996,0.498879,0.498821,0.100348,0.499775,0.499663,0.499078,0.499037,0.498870,0.498882,0.099796,0.499759,0.500046,0.498803,0.498773,0.498750,0.498769,0.099840,0.499994,0.499829,0.498766,0.498715,0.498681,0.498692,0.099858,0.500126,0.500033,0.498714,0.498649,0.498616,0.498642,0.099891
400,0.488349,0.488205,0.498283,0.498411,0.491406,0.490688,0.102305,0.497437,0.495367,0.497852,0.497661,0.496141,0.495840,0.101933,0.501172,0.500119,0.497978,0.497724,0.497270,0.497132,0.100972,0.500411,0.499389,0.498598,0.498345,0.497493,0.497664,0.100436,0.499990,0.499712,0.498869,0.498420,0.497633,0.497739,0.099798,0.500401,0.500011,0.496938,0.496619,0.496457,0.496981,0.099562
600,0.473570,0.473371,0.497513,0.497903,0.480532,0.479170,0.105178,0.498082,0.491235,0.495856,0.495427,0.489335,0.488914,0.103775,0.502099,0.498612,0.495948,0.495153,0.493901,0.493293,0.102251,0.502911,0.500489,0.499755,0.498980,0.496596,0.496245,0.101224,0.500486,0.499490,0.499566,0.498149,0.495704,0.494943,0.099790,0.502928,0.502116,0.495871,0.495231,0.494416,0.493865,0.099529
800,0.451983,0.451678,0.490806,0.491390,0.463038,0.461017,0.108877,0.500443,0.484020,0.492189,0.491601,0.481782,0.481315,0.105861,0.504751,0.496704,0.491605,0.489938,0.487662,0.486353,0.103470,0.505029,0.501222,0.501332,0.499963,0.497149,0.496366,0.102206,0.501070,0.499665,0.501499,0.499665,0.496770,0.495246,0.100019,0.503593,0.501448,0.496468,0.495666,0.494644,0.493203,0.099559
1000,0.426461,0.426071,0.480283,0.480937,0.439226,0.436498,0.113286,0.511986,0.476967,0.487729,0.486958,0.473803,0.473199,0.108502,0.509119,0.496188,0.486462,0.483954,0.480786,0.478767,0.104990,0.505521,0.500888,0.503241,0.501135,0.497776,0.496539,0.103404,0.503962,0.502270,0.503763,0.501702,0.498293,0.496394,0.100887,0.503837,0.498253,0.497336,0.496585,0.495711,0.493955,0.100262
1200,0.403931,0.403354,0.468800,0.469522,0.416738,0.412776,0.118316,0.528653,0.471635,0.483096,0.481887,0.464178,0.463618,0.111562,0.514633,0.494900,0.481577,0.478626,0.473512,0.470451,0.106707,0.507180,0.501769,0.503583,0.501099,0.498106,0.496417,0.104124,0.502017,0.499595,0.505608,0.503466,0.499885,0.497758,0.102740,0.505194,0.498266,0.498513,0.497732,0.497134,0.495041,0.100864
1400,0.384578,0.383621,0.455247,0.456052,0.396876,0.390938,0.123305,0.548333,0.467848,0.478717,0.477304,0.456060,0.455389,0.114577,0.520865,0.495037,0.476314,0.472743,0.466684,0.462118,0.109296,0.506029,0.499224,0.504356,0.501179,0.498922,0.496728,0.104493,0.503346,0.499046,0.507761,0.505534,0.501700,0.499265,0.103458,0.506694,0.499009,0.499437,0.498789,0.498468,0.495864,0.100680
1600,0.366223,0.364813,0.442387,0.443333,0.381141,0.371767,0.128732,0.569379,0.464601,0.474459,0.472512,0.447237,0.446345,0.117583,0.525027,0.492963,0.470168,0.466212,0.460153,0.454579,0.112240,0.509797,0.500804,0.503895,0.500273,0.499563,0.496906,0.105003,0.504697,0.499834,0.509893,0.507585,0.503582,0.500820,0.104142,0.506192,0.496714,0.500227,0.499782,0.499769,0.496763,0.100409
1800,0.350793,0.348650,0.427517,0.428538,0.368763,0.355269,0.134160,0.592779,0.460409,0.470315,0.467924,0.438814,0.437490,0.121081,0.532923,0.492700,0.464269,0.459885,0.454044,0.447243,0.114977,0.511518,0.500650,0.502373,0.498312,0.499569,0.496670,0.105300,0.507064,0.501080,0.512317,0.509758,0.505251,0.502051,0.104499,0.506237,0.496088,0.500630,0.500423,0.500971,0.497405,0.100031
2000,0.337166,0.334071,0.413044,0.414146,0.359636,0.340798,0.140078,0.617234,0.457725,0.466837,0.463808,0.430963,0.428650,0.124308,0.539691,0.491254,0.459485,0.454765,0.448773,0.440407,0.118159,0.514404,0.501438,0.502432,0.497756,0.499491,0.496400,0.105639,0.508643,0.502001,0.514368,0.511607,0.506932,0.503311,0.104782,0.506399,0.494829,0.501850,0.501842,0.503169,0.498994,0.099573
2200,0.325874,0.321469,0.399185,0.400393,0.353597,0.328227,0.146133,0.642118,0.454980,0.463262,0.459447,0.423203,0.419952,0.128061,0.544733,0.487959,0.453281,0.448258,0.443766,0.433213,0.121895,0.518715,0.503783,0.501374,0.496216,0.499822,0.496379,0.105968,0.511573,0.504968,0.516277,0.513405,0.508801,0.504898,0.104855,0.508336,0.496129,0.502928,0.503045,0.505005,0.500238,0.099266
2400,0.317201,0.311144,0.386037,0.387351,0.351975,0.318369,0.152310,0.667664,0.452145,0.460583,0.455830,0.417127,0.412591,0.132011,0.551333,0.486388,0.448808,0.443223,0.440285,0.427640,0.126069,0.522008,0.505226,0.500568,0.495129,0.500297,0.496412,0.106243,0.513026,0.505710,0.517590,0.514556,0.510178,0.505951,0.105185,0.510052,0.496873,0.503724,0.504002,0.506383,0.501141,0.098712
2600,0.310404,0.302561,0.373028,0.374426,0.352842,0.310617,0.158733,0.692799,0.449885,0.458240,0.452596,0.411482,0.405339,0.135894,0.558607,0.485694,0.444767,0.438650,0.436856,0.421983,0.129925,0.524351,0.505375,0.499643,0.494044,0.501531,0.497007,0.106445,0.515169,0.507020,0.519138,0.515808,0.511460,0.506971,0.105427,0.512133,0.496855,0.504619,0.505032,0.507878,0.502079,0.098529
2800,0.304652,0.294906,0.359928,0.361378,0.355846,0.304025,0.165907,0.719255,0.446144,0.455229,0.448479,0.405550,0.397610,0.140209,0.563973,0.482824,0.439736,0.432978,0.432923,0.415379,0.134436,0.526311,0.505606,0.499326,0.493522,0.502529,0.497195,0.106710,0.514796,0.506157,0.520640,0.517154,0.512698,0.507865,0.105926,0.511631,0.495499,0.505998,0.506764,0.510096,0.503454,0.098627
3000,0.300739,0.288974,0.347808,0.349302,0.360205,0.298768,0.172672,0.745053,0.443857,0.453162,0.445315,0.401591,0.391612,0.144286,0.568897,0.479455,0.435972,0.428548,0.430015,0.409721,0.138261,0.527968,0.505429,0.498883,0.492728,0.503281,0.497456,0.106930,0.516748,0.507955,0.521729,0.518079,0.513806,0.508691,0.106209,0.512464,0.495358,0.506782,0.507810,0.511848,0.504416,0.098372
3200,0.297681,0.283854,0.335890,0.337422,0.365166,0.294919,0.179397,0.768291,0.439314,0.450907,0.442003,0.398102,0.386134,0.148405,0.575715,0.477797,0.432441,0.424500,0.427450,0.405069,0.142133,0.529773,0.505170,0.498347,0.492006,0.503973,0.497548,0.107216,0.517957,0.508768,0.522481,0.518644,0.514533,0.509243,0.106319,0.513334,0.495748,0.507259,0.508393,0.512925,0.504973,0.098172
