step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000
200,0.497131,0.497043,0.498163,0.498164,0.498401,0.498347,0.100450,0.499207,0.498677,0.498888,0.498868,0.498771,0.498723,0.100390,0.499224,0.498989,0.499158,0.499142,0.499135,0.499121,0.099847,0.499864,0.499737,0.498698,0.498676,0.498691,0.498695,0.099862,0.499703,0.499601,0.498304,0.498202,0.498171,0.498173,0.099808,0.499782,0.499505,0.498604,0.498561,0.498539,0.498568,0.099831
400,0.487535,0.487387,0.498324,0.498431,0.492456,0.491935,0.102323,0.498766,0.495787,0.496756,0.496562,0.496366,0.496117,0.101544,0.499387,0.498051,0.497929,0.497702,0.497378,0.497178,0.100990,0.501632,0.501020,0.498706,0.498364,0.497610,0.497405,0.100106,0.500661,0.500412,0.496744,0.496450,0.495889,0.495862,0.099766,0.500807,0.500899,0.496011,0.495591,0.495164,0.495892,0.099699
600,0.472119,0.471950,0.500917,0.501345,0.480326,0.480330,0.105288,0.500118,0.490499,0.493717,0.493281,0.492092,0.491726,0.102642,0.499232,0.495300,0.495598,0.494745,0.492639,0.492229,0.102105,0.506831,0.504705,0.498071,0.497233,0.496184,0.495344,0.101188,0.501064,0.500214,0.498107,0.497628,0.496586,0.495338,0.099948,0.500701,0.500420,0.495843,0.494745,0.493565,0.493382,0.099539
800,0.451541,0.451272,0.502170,0.503051,0.459003,0.460396,0.109256,0.505793,0.483423,0.490113,0.489341,0.486655,0.486290,0.104050,0.499620,0.491428,0.492058,0.490426,0.486402,0.485254,0.103112,0.513137,0.509306,0.496950,0.495775,0.495596,0.494266,0.102544,0.501169,0.500069,0.500556,0.499768,0.498301,0.497021,0.100780,0.499551,0.498010,0.498127,0.496834,0.495499,0.493257,0.100116
1000,0.427264,0.426837,0.501219,0.502502,0.433713,0.435183,0.113916,0.519171,0.476347,0.484318,0.483285,0.480168,0.479831,0.106057,0.500678,0.487500,0.486859,0.484702,0.479992,0.477800,0.104945,0.520206,0.513660,0.495313,0.493446,0.494073,0.492194,0.103386,0.501208,0.499469,0.502856,0.501842,0.499942,0.498454,0.101619,0.497136,0.495196,0.499795,0.498682,0.497413,0.494002,0.100787
1200,0.403969,0.403386,0.495797,0.497356,0.410324,0.411448,0.119000,0.535690,0.471127,0.478398,0.477009,0.473089,0.472749,0.108497,0.504895,0.486149,0.481896,0.479294,0.473359,0.470081,0.106630,0.528520,0.520370,0.494451,0.491941,0.494160,0.491720,0.104056,0.501785,0.498316,0.506144,0.504764,0.502399,0.500632,0.102146,0.496593,0.493825,0.501849,0.500709,0.499666,0.495721,0.101631
1400,0.384204,0.383248,0.487560,0.489397,0.389324,0.389675,0.124229,0.556042,0.467566,0.472825,0.470872,0.465579,0.465148,0.111120,0.510534,0.483400,0.476703,0.473385,0.466536,0.462367,0.108961,0.536166,0.526124,0.493083,0.490007,0.493876,0.490626,0.104847,0.504032,0.498867,0.508635,0.506909,0.504106,0.501882,0.102769,0.499136,0.494437,0.504170,0.502918,0.502113,0.497512,0.101725
1600,0.366433,0.364944,0.477352,0.479486,0.371086,0.369946,0.129858,0.579074,0.465574,0.467360,0.464674,0.457583,0.456816,0.114333,0.516360,0.481884,0.471319,0.467525,0.461018,0.455557,0.111463,0.539498,0.527389,0.491556,0.487968,0.492596,0.489140,0.105501,0.507509,0.500520,0.512229,0.509935,0.506592,0.503867,0.103476,0.499119,0.493773,0.506283,0.504995,0.504498,0.498910,0.101772
1800,0.352210,0.349849,0.465473,0.467818,0.357309,0.353207,0.135261,0.603379,0.463528,0.462509,0.458987,0.450478,0.449233,0.117362,0.522820,0.479723,0.465967,0.461635,0.456016,0.449375,0.113821,0.543225,0.529204,0.488933,0.484648,0.491705,0.487921,0.105881,0.507361,0.499852,0.514105,0.511767,0.508537,0.505502,0.103903,0.501441,0.495270,0.508609,0.507324,0.507235,0.500889,0.101766
2000,0.339622,0.336249,0.452590,0.455073,0.347707,0.338383,0.141405,0.627214,0.462333,0.458411,0.454129,0.443849,0.441841,0.121033,0.530550,0.477563,0.461196,0.456549,0.450783,0.442617,0.116944,0.548296,0.532723,0.486208,0.481670,0.490730,0.486437,0.106330,0.505312,0.496684,0.516801,0.514277,0.510611,0.507111,0.104456,0.503384,0.497796,0.512149,0.510887,0.511131,0.503937,0.101805
