step,train_loss,val_bpb
200,8.268033,2.334727
400,7.197349,2.079137
600,6.708846,2.006416
800,6.507012,1.968767
1000,6.361375,1.919732
1200,6.210867,1.873266
1400,6.087871,1.842448
1600,5.968552,1.819713
1800,5.909678,1.795981
2000,5.843497,1.780895
2200,5.773114,1.769361
2400,5.747869,1.752130
2600,5.707690,1.740504
2800,5.659873,1.730103
3000,5.620413,1.720026
3200,5.594500,1.709670
3400,5.545045,1.701990
3600,5.543729,1.698097
3800,5.505951,1.689673
4000,5.462152,1.679448
4200,5.465784,1.676417
4400,5.458347,1.671949
4600,5.431081,1.663450
4800,5.427076,1.661013
5000,5.397796,1.653538
5200,5.370226,1.648906
5400,5.341626,1.644179
5600,5.365810,1.640878
5800,5.338967,1.638708
6000,5.331353,1.635221
6200,5.318012,1.632388
6400,5.304148,1.629430
6600,5.297848,1.625874
6800,5.285192,1.624342
7000,5.288600,1.622226
7200,5.284101,1.620599
7400,5.280146,1.619262
7600,5.263076,1.616990
7800,5.270544,1.614883
8000,5.259743,1.615088
