step,train_loss,val_bpb
200,8.072162,2.160743
400,6.705188,1.961540
600,6.144625,1.841694
800,5.826080,1.778002
1000,5.603864,1.721973
1200,5.467426,1.684777
1400,5.348215,1.654273
1600,5.259709,1.630736
1800,5.187176,1.613270
2000,5.131700,1.596961
2200,5.085349,1.582296
2400,5.056864,1.570580
2600,5.006147,1.560179
2800,4.960544,1.551478
3000,4.936169,1.542973
3200,4.910489,1.534984
3400,4.888750,1.527860
3600,4.867295,1.522049
3800,4.831534,1.516003
4000,4.819302,1.510059
4200,4.802123,1.504670
4400,4.790393,1.498220
4600,4.781493,1.494676
4800,4.764230,1.488531
5000,4.740464,1.485150
5200,4.718625,1.481213
5400,4.710332,1.478612
5600,4.707334,1.474724
5800,4.706018,1.470411
6000,4.690367,1.468436
6200,4.680503,1.465187
6400,4.667105,1.462476
6600,4.659578,1.460802
6800,4.655621,1.458231
7000,4.651229,1.456467
7200,4.646416,1.454736
7400,4.638487,1.453660
7600,4.640894,1.452714
7800,4.625805,1.451624
8000,4.623889,1.450359
