step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000
200,0.497406,0.497302,0.498645,0.498604,0.100340,0.499607,0.499370,0.499122,0.499110,0.100276,0.499333,0.499191,0.499062,0.499088,0.099872,0.499216,0.499417,0.498442,0.498463,0.099845,0.499630,0.499526,0.498480,0.498532,0.099849,0.499495,0.499380,0.498458,0.498476,0.099787
400,0.489085,0.488909,0.493299,0.492648,0.102451,0.498968,0.496647,0.496677,0.496340,0.101961,0.499287,0.497875,0.497733,0.497599,0.100447,0.498813,0.498366,0.497670,0.497675,0.100103,0.499018,0.498723,0.497397,0.497692,0.099813,0.500265,0.499996,0.496501,0.497014,0.099424
600,0.474757,0.474528,0.484042,0.482736,0.105883,0.500448,0.492044,0.491112,0.490497,0.104212,0.498455,0.494098,0.493672,0.492993,0.100708,0.501046,0.499779,0.496896,0.496644,0.100828,0.501976,0.500635,0.496495,0.496121,0.100212,0.501345,0.501419,0.493573,0.492040,0.099010
800,0.454858,0.454517,0.469514,0.466993,0.110824,0.506595,0.485601,0.485208,0.484312,0.107735,0.496856,0.489109,0.489176,0.487898,0.101737,0.507544,0.505467,0.495170,0.494031,0.102550,0.505772,0.503582,0.498594,0.497949,0.101152,0.503803,0.503700,0.494805,0.490344,0.099449
1000,0.430136,0.429679,0.446892,0.443684,0.116756,0.518453,0.478571,0.477807,0.476793,0.111928,0.496564,0.481914,0.484540,0.482346,0.104439,0.515320,0.510823,0.494292,0.492034,0.103608,0.505840,0.503103,0.500290,0.499364,0.102070,0.503997,0.504614,0.498773,0.492310,0.099740
1200,0.406858,0.406272,0.422909,0.419163,0.123384,0.536089,0.471674,0.469183,0.468134,0.116686,0.496053,0.474991,0.479667,0.476378,0.107504,0.522183,0.516145,0.493963,0.490394,0.105126,0.506297,0.502055,0.501912,0.500769,0.102782,0.503209,0.503982,0.502943,0.496307,0.100408
1400,0.387169,0.386209,0.401268,0.396271,0.130282,0.556750,0.467743,0.460983,0.459675,0.121672,0.500104,0.470374,0.474466,0.470141,0.110584,0.526008,0.518593,0.493468,0.489176,0.106543,0.510162,0.505576,0.504163,0.502630,0.102819,0.505500,0.506418,0.507074,0.500054,0.100454
1600,0.369309,0.367817,0.382332,0.375370,0.137699,0.581507,0.462590,0.452987,0.451117,0.126991,0.505635,0.466214,0.470743,0.464867,0.114317,0.531830,0.522569,0.492656,0.487144,0.108228,0.509878,0.505413,0.505485,0.503587,0.103212,0.504844,0.503992,0.510059,0.502312,0.101311
1800,0.354873,0.352537,0.367118,0.356627,0.145175,0.605906,0.460530,0.445459,0.443079,0.132168,0.513831,0.463709,0.466675,0.459933,0.118101,0.539040,0.527819,0.492000,0.485764,0.109462,0.511587,0.506797,0.507621,0.505161,0.103444,0.507749,0.507254,0.513541,0.504901,0.101223
2000,0.342285,0.338909,0.356359,0.339634,0.153105,0.630366,0.457573,0.438810,0.435366,0.137726,0.521228,0.459418,0.463572,0.455465,0.122239,0.544762,0.531948,0.490483,0.483820,0.110820,0.511958,0.506996,0.510047,0.507048,0.103725,0.507927,0.506656,0.517468,0.508024,0.101115
2200,0.332143,0.327511,0.351568,0.325140,0.161260,0.656332,0.454774,0.431575,0.427012,0.143668,0.526949,0.455580,0.459193,0.449838,0.126639,0.548812,0.534714,0.489366,0.482245,0.112288,0.514194,0.508967,0.512205,0.508864,0.104103,0.507806,0.507433,0.521841,0.511481,0.100969
