step,train_loss,val_bpb
200,10.444675,2.427568
400,7.780325,2.186429
600,7.018146,2.080868
800,6.739286,2.035481
1000,6.594548,1.994907
1200,6.466340,1.952028
1400,6.348613,1.922455
1600,6.239306,1.900050
1800,6.182365,1.881790
2000,6.120228,1.862479
2200,6.048792,1.847458
2400,6.009787,1.836268
2600,5.973902,1.822134
2800,5.925760,1.812532
3000,5.882997,1.798623
3200,5.858629,1.786952
3400,5.810029,1.780386
3600,5.808481,1.776010
3800,5.772749,1.769531
4000,5.730239,1.761813
4200,5.728294,1.755409
4400,5.718649,1.748626
4600,5.693713,1.742094
4800,5.688555,1.737566
5000,5.659460,1.729529
5200,5.625690,1.725490
5400,5.598493,1.720011
5600,5.619569,1.715897
5800,5.590837,1.712502
6000,5.580619,1.708475
6200,5.564255,1.704946
6400,5.552174,1.701385
6600,5.547234,1.697585
6800,5.532361,1.696267
7000,5.532922,1.693245
7200,5.527431,1.692248
7400,5.524684,1.689902
7600,5.503939,1.687776
7800,5.508604,1.686620
8000,5.495658,1.685746
