step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498130,0.498013,0.499371,0.499322,0.499380,0.499413,0.499103,0.498958,0.500149,0.500069,0.498788,0.498706,0.499986,0.499974,0.498656,0.498567,0.500006,0.499999,0.498649,0.498553,0.500015,0.500020,0.498560,0.498456
400,0.488669,0.488458,0.496416,0.496042,0.495857,0.495750,0.498186,0.497652,0.498065,0.498053,0.500489,0.500395,0.499862,0.499811,0.499038,0.498813,0.498890,0.499120,0.498430,0.498254,0.500339,0.500136,0.499051,0.498908
600,0.472993,0.472760,0.492567,0.491929,0.490627,0.490055,0.497451,0.496186,0.498693,0.498474,0.506962,0.505658,0.498582,0.498945,0.494129,0.492726,0.497692,0.498137,0.492467,0.491826,0.499074,0.498752,0.494364,0.493801
800,0.453357,0.453069,0.486541,0.486222,0.482986,0.481774,0.497563,0.495301,0.497837,0.498600,0.516204,0.513029,0.499439,0.499409,0.493611,0.488046,0.495328,0.495931,0.487301,0.485095,0.501039,0.500573,0.490416,0.487863
1000,0.430041,0.429640,0.475411,0.475256,0.477470,0.474958,0.498482,0.495384,0.497457,0.498121,0.526478,0.520750,0.500244,0.500391,0.501311,0.489962,0.495520,0.495443,0.482647,0.477229,0.501781,0.501415,0.492931,0.484263
1200,0.406036,0.405569,0.460482,0.460007,0.473776,0.468824,0.499619,0.495479,0.500102,0.500170,0.534898,0.525445,0.496729,0.497330,0.508602,0.490159,0.494006,0.494107,0.484670,0.473581,0.502733,0.501793,0.497859,0.482587
1400,0.384839,0.384211,0.445832,0.444250,0.471495,0.464101,0.498080,0.493521,0.499188,0.498946,0.542217,0.528888,0.498395,0.497588,0.514067,0.488428,0.492898,0.492889,0.489507,0.471866,0.500875,0.499059,0.505197,0.484065
1600,0.364959,0.364105,0.431314,0.428321,0.469889,0.459309,0.496280,0.490992,0.500961,0.501009,0.547825,0.531016,0.496000,0.495753,0.521465,0.489375,0.491971,0.491856,0.493500,0.469339,0.499401,0.497636,0.510353,0.482435
1800,0.347783,0.346429,0.416483,0.411921,0.469866,0.455372,0.492617,0.486833,0.501862,0.501968,0.552130,0.532341,0.491706,0.491637,0.528444,0.489944,0.489864,0.489619,0.498958,0.468078,0.498518,0.495284,0.518039,0.483515
