step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.ffn_lut.T_soft,L0.ffn_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.ffn_lut.T_soft,L1.ffn_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.ffn_lut.T_soft,L2.ffn_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.ffn_lut.T_soft,L3.ffn_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.ffn_lut.T_soft,L4.ffn_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.ffn_lut.T_soft,L5.ffn_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498242,0.498126,0.499131,0.499132,0.499472,0.499419,0.500526,0.500533,0.497849,0.497864,0.499397,0.499540,0.498869,0.498933,0.499247,0.499116,0.499840,0.499786,0.498972,0.498933,0.500050,0.500026,0.498039,0.498083,0.498951,0.498751,0.499793,0.499714,0.498995,0.498950,0.500021,0.499975,0.498328,0.498403,0.499031,0.498875,0.499809,0.499753,0.499006,0.498979,0.500039,0.500012,0.498225,0.498309,0.498888,0.498702,0.499679,0.499580,0.498986,0.498927,0.499978,0.499963,0.498624,0.498689,0.498993,0.498839,0.499798,0.499756,0.498922,0.498865
400,0.490300,0.489859,0.498049,0.498097,0.497388,0.497079,0.501936,0.502870,0.487967,0.487978,0.494869,0.494886,0.496919,0.497128,0.497398,0.496816,0.501459,0.501528,0.496830,0.496480,0.499059,0.498093,0.499120,0.499524,0.501881,0.501585,0.495184,0.495044,0.506298,0.505831,0.501079,0.500802,0.499547,0.499751,0.500218,0.499895,0.497674,0.497641,0.505422,0.504669,0.498935,0.498327,0.498908,0.499440,0.501162,0.501071,0.495588,0.495626,0.505827,0.505602,0.499791,0.499841,0.500984,0.501106,0.500970,0.500580,0.497643,0.497479,0.504498,0.503862
600,0.475250,0.474790,0.499514,0.499865,0.489539,0.489112,0.503640,0.506993,0.472674,0.472594,0.489062,0.488523,0.493395,0.493172,0.491081,0.489777,0.510013,0.509681,0.496012,0.494472,0.499255,0.497787,0.500810,0.501291,0.504446,0.503302,0.497375,0.496295,0.521157,0.519403,0.502375,0.503010,0.501605,0.500980,0.498392,0.497241,0.500647,0.499577,0.521152,0.518708,0.499036,0.498206,0.501310,0.499545,0.502795,0.502471,0.497018,0.496516,0.521401,0.520526,0.500730,0.500802,0.506370,0.503521,0.496439,0.495265,0.500120,0.498950,0.519797,0.517866
800,0.455275,0.454788,0.499378,0.500012,0.482499,0.482101,0.505484,0.511813,0.452626,0.452408,0.480090,0.479699,0.487225,0.487179,0.482116,0.479268,0.522975,0.521268,0.494254,0.491487,0.500343,0.499110,0.500976,0.501811,0.505425,0.503211,0.505652,0.501996,0.542505,0.537400,0.502191,0.503921,0.508960,0.504190,0.498939,0.495826,0.506441,0.502711,0.545298,0.535822,0.497638,0.497746,0.506473,0.496912,0.503561,0.501896,0.502510,0.499822,0.544484,0.542014,0.499038,0.498637,0.511346,0.501956,0.494668,0.491821,0.506884,0.503141,0.543397,0.536679
1000,0.433917,0.433366,0.497984,0.498625,0.472942,0.472969,0.507890,0.516356,0.431683,0.431239,0.470930,0.469098,0.479215,0.479448,0.470706,0.465805,0.539747,0.537827,0.490547,0.486793,0.500491,0.498917,0.500177,0.501319,0.506560,0.503394,0.514600,0.507335,0.565572,0.553310,0.501974,0.506061,0.517371,0.508572,0.502315,0.496902,0.513360,0.505686,0.569774,0.549209,0.497028,0.497341,0.512739,0.495546,0.506921,0.503484,0.507904,0.502263,0.572137,0.562491,0.498728,0.498952,0.520167,0.500507,0.497652,0.492536,0.513248,0.505813,0.571361,0.554227
1200,0.410721,0.410097,0.494322,0.494869,0.461384,0.461891,0.512554,0.520242,0.411875,0.411050,0.465162,0.459198,0.471839,0.472763,0.461329,0.454442,0.554874,0.554200,0.486606,0.482203,0.503551,0.501750,0.498210,0.499663,0.507324,0.503164,0.525384,0.512568,0.582061,0.563246,0.500432,0.505159,0.530493,0.513839,0.505586,0.498126,0.522341,0.509404,0.587622,0.559085,0.495770,0.497381,0.515448,0.492325,0.511822,0.506351,0.514324,0.504488,0.599971,0.579552,0.499101,0.500581,0.527525,0.497325,0.499108,0.492241,0.521938,0.510533,0.595632,0.569268
1400,0.388410,0.387705,0.490424,0.490818,0.446326,0.447423,0.514324,0.518937,0.393428,0.392098,0.460670,0.448196,0.465966,0.467231,0.451572,0.442089,0.569579,0.570513,0.481599,0.476603,0.503597,0.501625,0.496505,0.498215,0.507069,0.502275,0.536282,0.519109,0.600622,0.574327,0.499157,0.503087,0.538494,0.515704,0.505984,0.497358,0.530713,0.512188,0.604701,0.568731,0.499094,0.500071,0.516528,0.489335,0.515600,0.508423,0.521617,0.506995,0.627665,0.595144,0.499347,0.500376,0.536814,0.493939,0.503029,0.494583,0.526530,0.510877,0.618149,0.586128
1600,0.367878,0.367049,0.483663,0.483925,0.430735,0.431691,0.518298,0.515489,0.376242,0.374134,0.458181,0.435587,0.460200,0.461851,0.441437,0.430326,0.584179,0.585768,0.476987,0.471402,0.502442,0.500902,0.495500,0.497436,0.506528,0.501222,0.546921,0.525230,0.617653,0.583920,0.498027,0.502527,0.550331,0.520978,0.509631,0.499519,0.539734,0.515280,0.625824,0.577904,0.495928,0.497086,0.522951,0.486782,0.519282,0.510338,0.529272,0.509648,0.656733,0.612033,0.498025,0.499845,0.542709,0.491068,0.504626,0.495616,0.531809,0.512273,0.644665,0.608546
1800,0.349331,0.348199,0.476968,0.477156,0.415079,0.415549,0.525306,0.511715,0.361118,0.357704,0.461176,0.425378,0.454878,0.456930,0.432980,0.420388,0.596898,0.598858,0.471426,0.465381,0.502978,0.501342,0.493809,0.496053,0.505917,0.500305,0.556850,0.530339,0.632985,0.591328,0.497676,0.502280,0.560544,0.525563,0.512921,0.500822,0.549107,0.519009,0.647642,0.588454,0.495318,0.496303,0.527953,0.484432,0.523295,0.512726,0.536599,0.511355,0.685513,0.630049,0.499419,0.501640,0.549252,0.489413,0.507379,0.497103,0.538515,0.514993,0.673193,0.629799
