step,train_loss,val_bpb
200,9.675943,2.330725
400,7.255760,2.062800
600,6.508271,1.942734
800,6.172072,1.875738
1000,5.937393,1.815951
1200,5.793135,1.774311
1400,5.661961,1.744685
1600,5.563033,1.720038
1800,5.487175,1.701404
2000,5.423160,1.682633
2200,5.374173,1.666105
2400,5.337817,1.654632
2600,5.284818,1.643598
2800,5.236986,1.632092
3000,5.209464,1.627842
3200,5.179288,1.613281
3400,5.153363,1.606987
3600,5.127389,1.598142
3800,5.089449,1.590638
4000,5.076498,1.600968
4200,5.055222,1.576958
4400,5.040013,1.573893
4600,5.035445,1.564979
4800,5.012751,1.560734
5000,4.983098,1.557040
5200,4.958553,1.551994
5400,4.951821,1.549814
5600,4.944735,1.553817
5800,4.941155,1.547579
6000,4.922628,1.547661
6200,4.912698,1.537775
6400,4.893860,1.528539
6600,4.888407,1.527886
6800,4.883336,1.524559
7000,4.874407,1.522685
7200,4.873638,1.520290
7400,4.860543,1.518379
7600,4.858785,1.517258
7800,4.845235,1.517016
8000,4.840344,1.513879
