step,train_loss,val_bpb
200,8.867330,2.402384
400,7.381875,2.126266
600,6.847907,2.045517
800,6.642107,2.012928
1000,6.502326,1.965434
1200,6.366083,1.920608
1400,6.261872,1.904076
1600,6.154548,1.873515
1800,6.103164,1.858996
2000,6.046238,1.842618
2200,5.980780,1.827953
2400,5.951144,1.828839
2600,5.919832,1.802433
2800,5.874639,1.790690
3000,5.838786,1.789251
3200,5.811959,1.773255
3400,5.768306,1.762941
3600,5.766284,1.759892
3800,5.733783,1.756371
4000,5.693054,1.747150
4200,5.693035,1.742400
4400,5.685622,1.736698
4600,5.659735,1.734029
4800,5.657977,1.725115
5000,5.627030,1.719458
