step,train_loss,val_bpb
200,8.872260,2.405305
400,7.420167,2.133839
600,6.866630,2.047456
800,6.643196,2.009701
1000,6.481927,1.955834
1200,6.360352,1.921981
1400,6.261913,1.900520
1600,6.161774,1.876222
1800,6.107855,1.859457
2000,6.049478,1.841758
2200,5.983802,1.829328
2400,5.954346,1.814281
2600,5.921757,1.802846
2800,5.877008,1.799430
3000,5.840443,1.785414
3200,5.812236,1.773664
3400,5.766734,1.767127
3600,5.766613,1.762310
3800,5.734287,1.758357
4000,5.690619,1.745137
4200,5.692938,1.741327
4400,5.683224,1.735895
