step,train_loss,val_bpb
200,8.879376,2.405849
400,7.416570,2.132266
600,6.865577,2.050098
800,6.658257,2.014024
1000,6.543928,1.980383
1200,6.445869,1.948014
1400,6.333422,1.918662
1600,6.221040,1.893100
1800,6.163258,1.880543
2000,6.106505,1.858353
2200,6.038235,1.845082
2400,6.006512,1.830858
2600,5.976849,1.820802
2800,5.932922,1.810049
3000,5.897716,1.799369
3200,5.870328,1.790889
3400,5.825387,1.784957
3600,5.825062,1.780516
3800,5.792034,1.773379
4000,5.751863,1.764014
4200,5.750997,1.761858
4400,5.741820,1.753508
4600,5.718900,1.749167
4800,5.716414,1.742322
5000,5.686337,1.737464
5200,5.654918,1.731661
5400,5.629420,1.728653
5600,5.647871,1.722815
5800,5.621965,1.719957
6000,5.613100,1.716729
6200,5.598200,1.714695
