step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497988,0.497909,0.498756,0.498764,0.498947,0.498908,0.498273,0.498186,0.499174,0.498881,0.501207,0.501248,0.501135,0.501116,0.502547,0.502546,0.499753,0.499477,0.500491,0.500503,0.500017,0.500026,0.502804,0.502750,0.499919,0.499969,0.499291,0.499282,0.498857,0.498827,0.502564,0.502356,0.500338,0.500335,0.501603,0.501665,0.501429,0.501427,0.502718,0.502755,0.500059,0.499966,0.501521,0.501569,0.501263,0.501264,0.502820,0.502822
400,0.487961,0.487877,0.504051,0.504244,0.494772,0.494436,0.489234,0.489273,0.494307,0.494161,0.498045,0.498103,0.497877,0.497667,0.506457,0.505869,0.501816,0.501626,0.499678,0.499093,0.494820,0.494564,0.512505,0.512129,0.499796,0.499964,0.499296,0.498254,0.496273,0.496217,0.512084,0.511002,0.500097,0.500296,0.504795,0.501099,0.499817,0.499692,0.512796,0.512416,0.499901,0.499952,0.503042,0.500828,0.495039,0.494982,0.512649,0.512134
600,0.472765,0.472680,0.514039,0.514488,0.489951,0.489473,0.476771,0.477014,0.486619,0.484971,0.491707,0.492072,0.495318,0.494191,0.510278,0.508607,0.504890,0.504528,0.502176,0.500887,0.489671,0.486550,0.527209,0.527214,0.499196,0.499235,0.502973,0.496008,0.487621,0.487357,0.529202,0.524050,0.498061,0.498657,0.509685,0.490761,0.489972,0.489561,0.528608,0.528189,0.495984,0.496026,0.509611,0.495546,0.485714,0.485515,0.528749,0.527023
800,0.452159,0.452022,0.523906,0.524700,0.484746,0.484362,0.460922,0.461310,0.476163,0.470326,0.485722,0.486512,0.493743,0.491286,0.511398,0.508427,0.507875,0.507309,0.504464,0.502682,0.489030,0.482869,0.546346,0.544291,0.496713,0.496612,0.510280,0.497953,0.480123,0.477119,0.550783,0.540841,0.497498,0.498236,0.516493,0.477993,0.479989,0.478630,0.547330,0.547634,0.496219,0.496181,0.516756,0.488083,0.476405,0.476108,0.546238,0.543958
1000,0.426881,0.426684,0.532625,0.533889,0.474608,0.474285,0.442811,0.443199,0.471430,0.456701,0.478202,0.479423,0.491743,0.486882,0.508421,0.504280,0.508284,0.507761,0.504337,0.502252,0.488097,0.480353,0.561836,0.552790,0.495546,0.495446,0.518790,0.503204,0.480561,0.469679,0.570782,0.557749,0.496215,0.496951,0.521539,0.468155,0.476512,0.470675,0.563081,0.559576,0.497272,0.497203,0.522059,0.483564,0.467789,0.466804,0.557808,0.549624
1200,0.403873,0.403564,0.540272,0.542103,0.459903,0.459439,0.423570,0.423882,0.471906,0.443627,0.470981,0.472965,0.489989,0.482771,0.504201,0.499091,0.509867,0.509237,0.503803,0.501614,0.487597,0.478107,0.575974,0.560883,0.491950,0.491444,0.531223,0.511711,0.485236,0.464468,0.594613,0.573994,0.496638,0.497511,0.530582,0.458960,0.479172,0.464495,0.581627,0.566407,0.492076,0.492534,0.528031,0.476373,0.463197,0.454877,0.572942,0.553494
1400,0.382944,0.382426,0.547646,0.550107,0.442721,0.441768,0.405130,0.405154,0.480405,0.432187,0.463244,0.466057,0.487266,0.478272,0.498639,0.492559,0.510417,0.509757,0.502672,0.500592,0.486929,0.476400,0.584622,0.568128,0.493154,0.492809,0.543146,0.516410,0.489097,0.460979,0.617649,0.592028,0.495056,0.495734,0.539067,0.450530,0.484631,0.459332,0.598070,0.571540,0.489365,0.489785,0.535356,0.470173,0.466729,0.445181,0.586992,0.556633
1600,0.364045,0.363100,0.549251,0.552216,0.425336,0.423476,0.387314,0.386924,0.490613,0.421310,0.455252,0.458853,0.484564,0.473456,0.491336,0.484447,0.508631,0.507949,0.501186,0.499192,0.486245,0.474552,0.592594,0.576378,0.492850,0.492276,0.553203,0.521446,0.494284,0.459470,0.638429,0.609456,0.494439,0.495054,0.546462,0.445560,0.489748,0.456254,0.609766,0.575073,0.488652,0.488961,0.539964,0.467902,0.470652,0.442531,0.595771,0.559272
1800,0.348072,0.346459,0.549964,0.553387,0.408092,0.405056,0.370953,0.369889,0.506719,0.413761,0.447652,0.451709,0.480071,0.467008,0.483853,0.476141,0.509547,0.508791,0.499902,0.498117,0.484688,0.471959,0.599078,0.582177,0.491457,0.490756,0.564715,0.528204,0.502994,0.459426,0.662017,0.626088,0.496146,0.496953,0.554974,0.439105,0.496432,0.455594,0.620020,0.577227,0.489410,0.489752,0.546456,0.461166,0.474528,0.439117,0.602639,0.560902
2000,0.335326,0.332583,0.551061,0.554934,0.392040,0.387295,0.355749,0.353592,0.524178,0.407481,0.439495,0.444139,0.475433,0.460259,0.476481,0.467834,0.509545,0.508559,0.498872,0.497236,0.482943,0.469486,0.604284,0.586006,0.489265,0.488706,0.576534,0.533238,0.512310,0.458439,0.682845,0.636037,0.496603,0.497392,0.565809,0.432514,0.503456,0.453630,0.628782,0.578845,0.488630,0.488790,0.556689,0.455406,0.479191,0.437023,0.608817,0.562179
2200,0.324845,0.320700,0.550063,0.554233,0.378489,0.370990,0.342173,0.338508,0.542766,0.402152,0.431881,0.436703,0.470848,0.453976,0.469790,0.460199,0.507349,0.506110,0.497092,0.495648,0.481361,0.466805,0.610363,0.590815,0.488278,0.488013,0.588072,0.539092,0.521374,0.457831,0.700210,0.643262,0.497288,0.498100,0.575395,0.427170,0.510642,0.453913,0.637354,0.580267,0.486300,0.486154,0.566129,0.449870,0.483666,0.435530,0.614139,0.563263
2400,0.317006,0.311184,0.547397,0.551809,0.368603,0.356592,0.330733,0.324793,0.561335,0.396685,0.424122,0.429029,0.467195,0.448249,0.463306,0.452658,0.507814,0.506315,0.496279,0.494923,0.479942,0.463828,0.614952,0.594323,0.491185,0.491165,0.599401,0.544046,0.527970,0.456971,0.714168,0.648198,0.498926,0.499197,0.587222,0.421511,0.517984,0.454836,0.645410,0.581562,0.486145,0.485976,0.579317,0.442978,0.491006,0.434492,0.619185,0.564254
2600,0.309857,0.302245,0.545002,0.549593,0.362076,0.343340,0.320730,0.311881,0.581537,0.392397,0.416978,0.421626,0.462288,0.440790,0.456689,0.445110,0.505023,0.503720,0.494276,0.493087,0.477817,0.460470,0.618789,0.597631,0.490448,0.490657,0.608450,0.544954,0.533378,0.456744,0.728276,0.653085,0.494990,0.495897,0.597390,0.415291,0.525018,0.454488,0.652933,0.582839,0.484965,0.484914,0.588159,0.437872,0.497740,0.433891,0.623527,0.565141
2800,0.304833,0.295336,0.539554,0.544298,0.360884,0.332373,0.313735,0.300845,0.602927,0.389775,0.410556,0.414684,0.459113,0.435311,0.450826,0.438182,0.503525,0.501930,0.492257,0.491230,0.475184,0.457254,0.620389,0.598218,0.490571,0.491059,0.617594,0.547620,0.539803,0.456029,0.738304,0.656865,0.495692,0.497002,0.607742,0.409981,0.531491,0.453557,0.659283,0.584063,0.486290,0.485885,0.599458,0.433147,0.505314,0.434099,0.627484,0.566053
3000,0.300724,0.289389,0.537093,0.541990,0.364159,0.323725,0.309133,0.290658,0.624769,0.386289,0.404356,0.407986,0.455079,0.428751,0.444769,0.431002,0.502583,0.500727,0.490524,0.489601,0.471898,0.453378,0.622201,0.599018,0.489483,0.489928,0.628561,0.551196,0.545764,0.455625,0.746554,0.659872,0.494309,0.495101,0.618813,0.404806,0.537556,0.452221,0.664866,0.585149,0.485525,0.484834,0.608008,0.429198,0.509807,0.434161,0.631088,0.566842
3200,0.298131,0.284922,0.531512,0.536452,0.370178,0.315796,0.307609,0.281702,0.646333,0.382473,0.398736,0.401565,0.450989,0.422568,0.439581,0.424627,0.501247,0.498956,0.487879,0.487129,0.468296,0.448443,0.622765,0.598387,0.489590,0.490483,0.636549,0.553823,0.553990,0.454501,0.753300,0.662266,0.493313,0.494393,0.629326,0.400296,0.542983,0.452099,0.670406,0.586169,0.484740,0.483775,0.617612,0.423809,0.516357,0.434136,0.634787,0.567653
3400,0.295973,0.280729,0.526987,0.531983,0.377982,0.310059,0.308520,0.274458,0.667694,0.380300,0.394349,0.396065,0.448191,0.417398,0.434733,0.418727,0.500232,0.497671,0.485815,0.485211,0.464929,0.443636,0.623395,0.597540,0.489009,0.490164,0.645869,0.556887,0.559719,0.453824,0.758179,0.664025,0.492948,0.493708,0.640860,0.395882,0.548998,0.451106,0.675237,0.587031,0.484595,0.483291,0.628833,0.421214,0.521486,0.434588,0.637874,0.568305
3600,0.294372,0.277282,0.520957,0.525999,0.386080,0.304695,0.312116,0.268304,0.688013,0.377771,0.389918,0.390313,0.446685,0.413025,0.430238,0.412763,0.499658,0.496652,0.482932,0.482586,0.461612,0.439226,0.623455,0.595303,0.489773,0.491105,0.654772,0.560309,0.564841,0.453270,0.762559,0.665595,0.493377,0.494246,0.651830,0.391650,0.554110,0.450498,0.679793,0.587876,0.483459,0.481947,0.638138,0.418628,0.526483,0.434759,0.640956,0.568957
3800,0.293211,0.274560,0.516243,0.521388,0.394166,0.300088,0.316516,0.263019,0.709045,0.375827,0.386423,0.385285,0.444235,0.407770,0.426264,0.407452,0.498860,0.495483,0.481089,0.480940,0.459923,0.435230,0.623211,0.592839,0.488855,0.489892,0.660525,0.561069,0.568888,0.452346,0.766589,0.667074,0.493069,0.494474,0.662762,0.388290,0.559465,0.450447,0.683975,0.588718,0.484278,0.482466,0.648972,0.415725,0.530763,0.434149,0.644021,0.569645
4000,0.292067,0.271803,0.510501,0.515666,0.402694,0.296032,0.322600,0.258933,0.727697,0.373089,0.383672,0.381057,0.441819,0.403094,0.422124,0.401890,0.498081,0.494341,0.479222,0.479288,0.459192,0.432022,0.623089,0.590822,0.488149,0.489131,0.665004,0.561843,0.572887,0.451795,0.769674,0.668205,0.493885,0.495054,0.670284,0.384537,0.563909,0.449553,0.687360,0.589420,0.484543,0.482567,0.658499,0.413261,0.535710,0.434963,0.646806,0.570258
4200,0.291546,0.269764,0.505579,0.510791,0.411339,0.293084,0.329283,0.255536,0.745633,0.370204,0.381157,0.377070,0.440441,0.399063,0.418366,0.396745,0.497774,0.493657,0.477458,0.477755,0.457614,0.428428,0.622832,0.588582,0.487288,0.488102,0.668904,0.562564,0.577196,0.450762,0.772069,0.669006,0.492806,0.493732,0.679100,0.382229,0.567432,0.448849,0.690195,0.589912,0.485024,0.482853,0.666832,0.411520,0.539586,0.434555,0.649058,0.570672
4400,0.291085,0.267976,0.499701,0.504909,0.418918,0.290378,0.335785,0.253182,0.763755,0.368771,0.380110,0.374275,0.439583,0.395957,0.415324,0.392266,0.497551,0.492960,0.475854,0.476236,0.457166,0.425390,0.621571,0.585156,0.487298,0.488438,0.673330,0.564213,0.581055,0.450025,0.774237,0.669821,0.493392,0.494184,0.689035,0.379844,0.571087,0.448139,0.692858,0.590460,0.486074,0.483772,0.675528,0.409657,0.543225,0.434315,0.651223,0.571162
4600,0.291040,0.266682,0.495104,0.500374,0.426713,0.287379,0.342086,0.251205,0.780711,0.366489,0.379246,0.371486,0.438320,0.392443,0.412490,0.388276,0.497123,0.492059,0.474200,0.474754,0.457047,0.423208,0.620039,0.581651,0.487119,0.488217,0.677837,0.565914,0.584562,0.449513,0.775950,0.670432,0.493205,0.493928,0.698753,0.376922,0.575720,0.447459,0.695058,0.590861,0.486514,0.484015,0.686590,0.407893,0.547744,0.434897,0.652987,0.571484
4800,0.290515,0.265094,0.490983,0.496279,0.433917,0.285082,0.348415,0.249875,0.795778,0.364404,0.378036,0.368719,0.437243,0.389425,0.409745,0.384278,0.497444,0.491841,0.472994,0.473716,0.456861,0.420750,0.618104,0.577929,0.486281,0.487098,0.679815,0.566433,0.587588,0.448883,0.777511,0.670972,0.492870,0.493256,0.706832,0.374494,0.578856,0.446581,0.696897,0.591202,0.486413,0.483826,0.695176,0.406353,0.550892,0.435083,0.654499,0.571760
5000,0.290305,0.263907,0.486804,0.492135,0.441128,0.283207,0.355032,0.249102,0.810836,0.362870,0.377586,0.366415,0.436033,0.386085,0.407329,0.380543,0.497012,0.490913,0.471336,0.472285,0.457082,0.418428,0.616231,0.574094,0.485782,0.486611,0.681396,0.566872,0.590209,0.448162,0.779020,0.671563,0.492647,0.492804,0.713798,0.372403,0.581377,0.445302,0.698619,0.591588,0.487285,0.484624,0.701941,0.405065,0.553859,0.434894,0.655853,0.572073
5200,0.290088,0.262786,0.482994,0.488368,0.447514,0.281088,0.361555,0.248555,0.823946,0.361155,0.377864,0.364813,0.435677,0.383336,0.405016,0.377035,0.497436,0.490722,0.470276,0.471339,0.457477,0.416271,0.614428,0.570662,0.486073,0.486455,0.682418,0.566824,0.593134,0.447440,0.780199,0.672021,0.492167,0.492397,0.720686,0.370270,0.584339,0.444811,0.700070,0.591930,0.487568,0.484590,0.708648,0.404362,0.556402,0.435133,0.657024,0.572341
5400,0.289662,0.261538,0.479280,0.484670,0.453999,0.279012,0.367720,0.248062,0.837297,0.359897,0.378147,0.363430,0.434881,0.380572,0.402909,0.373674,0.497351,0.490072,0.468841,0.470014,0.457530,0.414250,0.612224,0.567007,0.486439,0.487042,0.684000,0.567568,0.595197,0.447053,0.781148,0.672359,0.493372,0.493438,0.725653,0.368492,0.586589,0.443719,0.701226,0.592160,0.488189,0.485018,0.713495,0.403355,0.557904,0.434458,0.657960,0.572499
5600,0.289503,0.260691,0.476687,0.482109,0.459156,0.277426,0.373647,0.248077,0.849151,0.358459,0.378472,0.362268,0.434091,0.378215,0.401335,0.370872,0.497030,0.489246,0.467693,0.469019,0.457874,0.412681,0.610364,0.563977,0.486354,0.486567,0.684086,0.567194,0.596381,0.446525,0.781946,0.672689,0.492869,0.492363,0.730151,0.366330,0.587741,0.441714,0.702305,0.592434,0.489416,0.486354,0.718462,0.402379,0.559173,0.434215,0.658821,0.572710
5800,0.289704,0.260162,0.473929,0.479359,0.463922,0.275934,0.378801,0.248087,0.859757,0.357157,0.378869,0.361177,0.434002,0.376509,0.399962,0.368478,0.497003,0.488858,0.467068,0.468467,0.458534,0.411393,0.608695,0.561342,0.486427,0.486212,0.684111,0.566890,0.597055,0.445643,0.782524,0.672919,0.491779,0.491277,0.734016,0.365021,0.589256,0.440956,0.703143,0.592625,0.489675,0.486458,0.723759,0.401551,0.560615,0.433765,0.659500,0.572853
6000,0.289657,0.259511,0.471174,0.476623,0.468155,0.274615,0.383628,0.248355,0.868780,0.355778,0.379764,0.360655,0.433808,0.374693,0.398906,0.366293,0.496727,0.488180,0.466108,0.467608,0.459166,0.410286,0.606548,0.558285,0.487020,0.486654,0.684938,0.567369,0.597759,0.445130,0.782923,0.673030,0.491321,0.490629,0.737322,0.363397,0.590349,0.439863,0.703734,0.592720,0.490614,0.487098,0.726298,0.400849,0.561480,0.433066,0.659984,0.572917
6200,0.289224,0.258579,0.469090,0.474543,0.472074,0.273144,0.388318,0.248660,0.877241,0.354360,0.380283,0.359889,0.433492,0.372836,0.397741,0.363893,0.496947,0.487818,0.464997,0.466597,0.459649,0.409140,0.604236,0.555150,0.486247,0.485939,0.684997,0.567203,0.598420,0.444558,0.783225,0.673081,0.491234,0.490459,0.739162,0.361911,0.591177,0.438403,0.704178,0.592732,0.490976,0.487229,0.728313,0.400193,0.562195,0.432066,0.660394,0.572912
6400,0.289136,0.258036,0.467182,0.472651,0.475021,0.271782,0.392538,0.249005,0.884523,0.353431,0.381121,0.359505,0.433408,0.371363,0.396968,0.361981,0.497094,0.487505,0.464416,0.466067,0.460257,0.408277,0.602433,0.552640,0.486102,0.485846,0.685337,0.567315,0.598769,0.444082,0.783454,0.673125,0.491517,0.490563,0.740479,0.360407,0.591770,0.437210,0.704581,0.592794,0.491146,0.487277,0.730209,0.399463,0.562631,0.431335,0.660752,0.572961
6600,0.289051,0.257586,0.465468,0.470946,0.478211,0.270780,0.396173,0.249289,0.891616,0.352874,0.381618,0.359082,0.433472,0.370246,0.395976,0.360102,0.497110,0.487167,0.464065,0.465762,0.460322,0.407277,0.600936,0.550602,0.485761,0.485079,0.684705,0.566682,0.598968,0.443651,0.783845,0.673344,0.491879,0.490780,0.742254,0.359440,0.592168,0.436061,0.705083,0.592997,0.491390,0.487400,0.731617,0.398954,0.563133,0.430621,0.661208,0.573134
6800,0.289026,0.257203,0.464136,0.469635,0.480453,0.269617,0.399409,0.249687,0.897519,0.352230,0.382152,0.358644,0.433373,0.369178,0.395114,0.358574,0.496968,0.486764,0.463622,0.465348,0.460734,0.406712,0.599559,0.548795,0.485299,0.484588,0.684632,0.566532,0.598947,0.443070,0.783921,0.673311,0.492074,0.490634,0.743712,0.358305,0.592381,0.434671,0.705237,0.592955,0.491589,0.487378,0.732480,0.398726,0.563577,0.430068,0.661339,0.573085
7000,0.288818,0.256714,0.462736,0.468238,0.483062,0.268746,0.402400,0.250033,0.902695,0.351687,0.382809,0.358387,0.433458,0.368232,0.394563,0.357174,0.496838,0.486337,0.463205,0.464951,0.460786,0.405911,0.597999,0.546766,0.484987,0.484322,0.684869,0.566659,0.599074,0.442630,0.784064,0.673342,0.492016,0.490454,0.744243,0.357321,0.592660,0.433567,0.705419,0.592971,0.492359,0.487947,0.733065,0.398273,0.563681,0.429296,0.661499,0.573092
7200,0.288666,0.256308,0.461658,0.467165,0.484830,0.267887,0.405066,0.250369,0.907424,0.350934,0.383471,0.358187,0.433394,0.367345,0.394065,0.355800,0.496792,0.486017,0.462591,0.464380,0.460968,0.405331,0.596487,0.544918,0.484698,0.483816,0.684572,0.566325,0.599042,0.442251,0.784087,0.673289,0.491831,0.490153,0.744895,0.356492,0.592963,0.432608,0.705507,0.592918,0.492489,0.487945,0.733456,0.397661,0.563706,0.428649,0.661583,0.573045
7400,0.288689,0.256085,0.460685,0.466199,0.486622,0.267061,0.407536,0.250757,0.911677,0.350338,0.384147,0.358095,0.433321,0.366525,0.393443,0.354489,0.496742,0.485760,0.462355,0.464185,0.461247,0.404848,0.595207,0.543253,0.484835,0.483677,0.684356,0.566099,0.598976,0.441872,0.784170,0.673303,0.492052,0.490099,0.745142,0.355639,0.592887,0.431662,0.705635,0.592921,0.492494,0.487834,0.733617,0.397208,0.563739,0.428049,0.661695,0.573045
7600,0.288618,0.255801,0.459649,0.465172,0.488261,0.266328,0.409828,0.251080,0.915789,0.349923,0.384574,0.357839,0.433356,0.365833,0.392990,0.353404,0.496729,0.485459,0.461880,0.463741,0.461252,0.404268,0.593982,0.541683,0.484769,0.483696,0.684738,0.566354,0.599013,0.441531,0.784243,0.673302,0.491956,0.489813,0.745334,0.354942,0.593041,0.430934,0.705737,0.592923,0.492636,0.487840,0.733626,0.396653,0.563539,0.427334,0.661792,0.573046
7800,0.288531,0.255483,0.458871,0.464410,0.489790,0.265725,0.412040,0.251512,0.919379,0.349455,0.385144,0.357799,0.433244,0.365089,0.392582,0.352326,0.496736,0.485233,0.461645,0.463532,0.461593,0.404006,0.592789,0.540209,0.484678,0.483615,0.684849,0.566417,0.599030,0.441274,0.784335,0.673324,0.492133,0.489906,0.745590,0.354333,0.593074,0.430213,0.705865,0.592958,0.493131,0.488211,0.733741,0.396339,0.563509,0.426803,0.661920,0.573082
8000,0.288460,0.255222,0.457898,0.463437,0.491096,0.265051,0.414147,0.251839,0.922989,0.348983,0.385632,0.357615,0.433229,0.364398,0.392208,0.351260,0.496794,0.485069,0.461311,0.463220,0.461707,0.403481,0.591652,0.538784,0.484717,0.483555,0.684877,0.566386,0.599055,0.440939,0.784338,0.673280,0.492024,0.489735,0.745604,0.353590,0.592914,0.429160,0.705896,0.592909,0.493177,0.488177,0.733563,0.395868,0.563164,0.426005,0.661942,0.573032
