step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498066,0.497981,0.498686,0.498691,0.498382,0.498351,0.498376,0.498278,0.499955,0.499821,0.500436,0.500422,0.500623,0.500586,0.502804,0.502789,0.500431,0.500265,0.501221,0.501247,0.501190,0.501177,0.502887,0.502924,0.499874,0.500046,0.500937,0.500961,0.500670,0.500633,0.502982,0.502934,0.499959,0.499719,0.501742,0.501862,0.502139,0.502141,0.502756,0.502847,0.499746,0.499649,0.501429,0.501455,0.502102,0.502103,0.502771,0.502851
400,0.488123,0.488009,0.501386,0.501615,0.491848,0.491437,0.489012,0.489016,0.496699,0.495556,0.497707,0.497679,0.497230,0.497054,0.508611,0.508009,0.501047,0.501033,0.501517,0.501467,0.499594,0.499022,0.513433,0.512986,0.500332,0.500680,0.499253,0.498507,0.496698,0.496645,0.513040,0.512719,0.500304,0.499735,0.506751,0.507035,0.509049,0.509058,0.513336,0.513375,0.498899,0.499078,0.504246,0.504342,0.508862,0.508863,0.513233,0.513307
600,0.472802,0.472685,0.507608,0.508211,0.486581,0.485581,0.476671,0.477041,0.489791,0.486417,0.494418,0.494515,0.494010,0.492787,0.513129,0.511509,0.503293,0.503321,0.501187,0.500691,0.495652,0.492961,0.527928,0.525555,0.496842,0.497650,0.504198,0.495654,0.489977,0.489703,0.529582,0.528700,0.501436,0.500752,0.512947,0.512796,0.517518,0.517397,0.530425,0.529766,0.499110,0.499490,0.508583,0.508759,0.517417,0.517420,0.530800,0.530692
800,0.451431,0.451252,0.512661,0.513699,0.481809,0.480392,0.460793,0.461520,0.482186,0.474675,0.491201,0.491703,0.492132,0.488478,0.514272,0.511447,0.504796,0.504802,0.502830,0.502060,0.495219,0.490376,0.544234,0.535693,0.493531,0.495069,0.511831,0.495666,0.481167,0.479367,0.547717,0.548505,0.501451,0.500947,0.518580,0.502958,0.507997,0.506872,0.544618,0.542899,0.500081,0.500391,0.516468,0.515655,0.510969,0.509603,0.548302,0.547111
1000,0.426273,0.426027,0.512322,0.513864,0.473931,0.471749,0.441291,0.442163,0.476728,0.459995,0.486577,0.487751,0.489637,0.483028,0.512127,0.508018,0.507848,0.507014,0.504158,0.503237,0.496012,0.489486,0.563418,0.543364,0.490033,0.491661,0.521722,0.496113,0.481996,0.469366,0.567173,0.562634,0.500407,0.499804,0.525401,0.489956,0.502645,0.497275,0.560961,0.554587,0.497918,0.498120,0.528360,0.526032,0.502499,0.499367,0.566272,0.561022
1200,0.403699,0.403291,0.509291,0.511123,0.462530,0.459396,0.421051,0.421879,0.476503,0.446927,0.480771,0.482363,0.487312,0.478426,0.507938,0.502653,0.510115,0.509336,0.504519,0.503608,0.496842,0.488360,0.580670,0.551034,0.486998,0.488925,0.532607,0.501218,0.486118,0.464633,0.588397,0.575068,0.501445,0.500860,0.533378,0.478805,0.500650,0.487563,0.578235,0.562985,0.493902,0.493814,0.540477,0.535939,0.496910,0.490804,0.582791,0.567873
1400,0.383060,0.382456,0.501073,0.503135,0.448825,0.444379,0.401242,0.401898,0.482251,0.435054,0.474713,0.476944,0.483846,0.472550,0.501369,0.494929,0.511024,0.510263,0.505607,0.504627,0.498434,0.488160,0.595523,0.561360,0.486234,0.488823,0.541879,0.502759,0.493645,0.462608,0.607981,0.587292,0.500971,0.500192,0.541077,0.465588,0.498879,0.475452,0.597586,0.569750,0.494441,0.494351,0.552791,0.545278,0.495560,0.482839,0.595562,0.572103
1600,0.364202,0.363247,0.489206,0.491342,0.434641,0.428908,0.382125,0.382433,0.492353,0.423850,0.467530,0.470295,0.478393,0.465874,0.491907,0.484595,0.510656,0.510139,0.505069,0.504144,0.499011,0.487538,0.611135,0.566899,0.487723,0.490249,0.550043,0.504251,0.499411,0.461715,0.626611,0.598224,0.500373,0.499726,0.549006,0.454428,0.502443,0.470877,0.613103,0.574490,0.493364,0.493191,0.562005,0.551700,0.497249,0.477485,0.605771,0.574438
1800,0.348603,0.346956,0.475176,0.477410,0.418425,0.411352,0.364618,0.364359,0.508217,0.414885,0.459920,0.463355,0.472149,0.458079,0.483292,0.475090,0.510360,0.509484,0.504224,0.503400,0.499059,0.486619,0.622613,0.570410,0.486080,0.488198,0.562101,0.506891,0.504427,0.462333,0.646947,0.605956,0.498895,0.498251,0.561299,0.444774,0.505790,0.463824,0.629646,0.577462,0.493761,0.493548,0.570379,0.556110,0.499031,0.468097,0.613946,0.575959
