step,train_loss,val_bpb
200,8.878653,2.408215
400,7.421544,2.134456
600,6.867022,2.046758
800,6.647743,2.008598
1000,6.491067,1.954913
1200,6.353874,1.917572
1400,6.241290,1.890210
1600,6.130516,1.863429
1800,6.073729,1.847529
2000,6.013524,1.829478
2200,5.943694,1.816383
2400,5.915197,1.805337
2600,5.882211,1.789334
2800,5.835879,1.778546
3000,5.797522,1.769513
3200,5.770332,1.764057
3400,5.724774,1.751822
3600,5.724367,1.749309
3800,5.687472,1.741334
4000,5.644092,1.731078
4200,5.644204,1.726178
4400,5.634456,1.720706
4600,5.610831,1.714872
4800,5.605193,1.710244
5000,5.575270,1.704266
5200,5.541801,1.696664
5400,5.513879,1.691807
5600,5.534561,1.687862
