step,train_loss,val_bpb
200,8.674344,2.307555
400,7.168169,2.062052
600,6.611704,1.966133
800,6.371568,1.919140
1000,6.220442,1.875386
1200,6.101346,1.844961
1400,6.003893,1.819928
1600,5.902756,1.798825
1800,5.855524,1.783714
2000,5.796315,1.765535
2200,5.726468,1.752850
2400,5.704050,1.740351
2600,5.664955,1.725204
2800,5.619719,1.716895
3000,5.578919,1.704330
3200,5.553607,1.694963
3400,5.504138,1.687609
3600,5.503559,1.682247
3800,5.465664,1.675048
4000,5.422597,1.672460
4200,5.424692,1.666011
4400,5.413563,1.655687
4600,5.385459,1.650579
4800,5.382020,1.645867
5000,5.352436,1.635980
5200,5.319540,1.631454
5400,5.289806,1.625650
5600,5.312693,1.623742
5800,5.283141,1.620663
6000,5.274953,1.613729
6200,5.257174,1.612623
6400,5.237836,1.609054
6600,5.233415,1.605509
6800,5.219872,1.602956
7000,5.220840,1.601322
7200,5.214817,1.599578
7400,5.213369,1.597633
7600,5.191864,1.595507
7800,5.199990,1.593425
8000,5.184870,1.593272
