step,train_loss,val_bpb
200,8.653740,2.305196
400,7.162156,2.060209
600,6.624313,1.970600
800,6.391149,1.932508
1000,6.243965,1.886337
1200,6.130520,1.852214
1400,6.040553,1.830780
1600,5.941299,1.812265
1800,5.893229,1.792852
2000,5.836398,1.776854
2200,5.770520,1.763907
2400,5.745469,1.757009
2600,5.708883,1.738452
2800,5.661071,1.727250
3000,5.623306,1.722826
3200,5.598654,1.708814
3400,5.548342,1.702300
3600,5.549968,1.695623
3800,5.508920,1.690589
4000,5.465817,1.682210
4200,5.465299,1.675152
4400,5.454815,1.667787
