step,L0.qkv_joint.T_soft,L0.qkv_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_joint.T_soft,L1.qkv_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_joint.T_soft,L2.qkv_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_joint.T_soft,L3.qkv_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_joint.T_soft,L4.qkv_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_joint.T_soft,L5.qkv_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.502062,0.502118,0.498811,0.498790,0.497204,0.497230,0.498691,0.498760,0.499643,0.499599,0.500791,0.500528,0.499885,0.499895,0.501330,0.501296,0.503214,0.503237,0.500074,0.499964,0.499549,0.499499,0.503204,0.503063,0.499936,0.500080,0.501934,0.501936,0.503165,0.503218,0.500164,0.500215,0.502199,0.502209,0.503181,0.503217
400,0.511709,0.511900,0.496419,0.496485,0.489017,0.489113,0.495629,0.495580,0.496567,0.496303,0.496377,0.495814,0.498241,0.498312,0.502455,0.501078,0.512358,0.511826,0.503674,0.503357,0.494477,0.493427,0.513259,0.512905,0.500534,0.501133,0.507469,0.507587,0.513662,0.513669,0.505013,0.505064,0.501024,0.500451,0.513691,0.513364
600,0.527684,0.528106,0.492232,0.492558,0.479675,0.480079,0.489198,0.488744,0.493110,0.492736,0.488461,0.487821,0.495228,0.495334,0.502073,0.497971,0.521232,0.519071,0.513734,0.513362,0.499240,0.487957,0.529288,0.529131,0.507102,0.507434,0.514381,0.509326,0.528704,0.528054,0.515538,0.514617,0.495576,0.491715,0.529235,0.528925
800,0.549327,0.550124,0.484097,0.485092,0.467156,0.467891,0.479237,0.478173,0.486406,0.485849,0.475933,0.475330,0.490299,0.490340,0.499933,0.493182,0.529576,0.524678,0.526112,0.525562,0.507892,0.489995,0.544069,0.546464,0.514892,0.513916,0.521345,0.507466,0.540295,0.538550,0.524107,0.522272,0.499208,0.485141,0.541856,0.540689
1000,0.576575,0.577737,0.469938,0.471480,0.453020,0.454050,0.467919,0.465715,0.476365,0.474954,0.459300,0.458559,0.484556,0.484153,0.496258,0.487101,0.536954,0.527469,0.539007,0.538505,0.518724,0.495804,0.564807,0.566322,0.523596,0.520109,0.531884,0.510847,0.551810,0.544242,0.532654,0.529718,0.508209,0.485644,0.555446,0.548531
1200,0.604070,0.605618,0.452277,0.453416,0.438667,0.439820,0.457321,0.453415,0.466642,0.463436,0.443258,0.442182,0.478396,0.477171,0.492515,0.480402,0.542120,0.527355,0.550353,0.549263,0.525277,0.499549,0.583247,0.584051,0.532670,0.525467,0.543206,0.516841,0.563427,0.548268,0.541907,0.536965,0.520143,0.490884,0.569675,0.554586
1400,0.631244,0.633195,0.435887,0.435579,0.423400,0.424617,0.447780,0.441396,0.457113,0.450552,0.424813,0.423389,0.471789,0.469668,0.489796,0.473261,0.545081,0.524006,0.560144,0.558991,0.531682,0.502583,0.600816,0.598921,0.536915,0.525798,0.551593,0.520544,0.573545,0.551395,0.548027,0.542123,0.527049,0.495313,0.575075,0.557881
1600,0.659628,0.661975,0.422772,0.419843,0.410062,0.411024,0.440893,0.431139,0.450396,0.438546,0.408795,0.406766,0.466751,0.463425,0.489166,0.467121,0.547406,0.520993,0.569600,0.568614,0.541276,0.507384,0.617167,0.616052,0.542756,0.526568,0.560680,0.524696,0.586801,0.553429,0.557695,0.546272,0.537939,0.500262,0.582193,0.560720
1800,0.687027,0.689761,0.411326,0.404178,0.398201,0.398759,0.434899,0.421278,0.446564,0.427199,0.395407,0.392349,0.462103,0.457226,0.490374,0.461326,0.547148,0.516063,0.579134,0.577839,0.551638,0.511891,0.642040,0.634227,0.554649,0.528699,0.572297,0.529755,0.596329,0.554871,0.568373,0.546911,0.547073,0.503668,0.588321,0.563198
2000,0.713914,0.716998,0.403644,0.390264,0.387056,0.387065,0.431018,0.412426,0.445734,0.416816,0.382251,0.377856,0.456998,0.450333,0.491950,0.455107,0.547599,0.511191,0.587833,0.586330,0.563278,0.516799,0.667973,0.648119,0.566449,0.530484,0.585403,0.535462,0.604536,0.555993,0.579147,0.542316,0.557863,0.507260,0.593887,0.565377
2200,0.740248,0.743646,0.400106,0.377752,0.377118,0.376491,0.428610,0.404701,0.448659,0.407903,0.370272,0.364356,0.453428,0.444473,0.494555,0.448545,0.546669,0.505329,0.596412,0.594379,0.573121,0.520691,0.693417,0.665300,0.577355,0.531239,0.596223,0.539388,0.611511,0.557172,0.590142,0.539354,0.565011,0.509847,0.598863,0.567476
2400,0.766088,0.769728,0.400546,0.367526,0.367979,0.366550,0.428848,0.398720,0.455441,0.400358,0.360025,0.352151,0.450588,0.439108,0.499898,0.443717,0.545842,0.500123,0.602962,0.599930,0.581207,0.523138,0.719180,0.681496,0.589541,0.530822,0.607554,0.546165,0.617617,0.557990,0.603141,0.536089,0.572122,0.511564,0.602858,0.569070
2600,0.791037,0.794893,0.405055,0.359125,0.359317,0.356782,0.429178,0.392814,0.463962,0.393229,0.351204,0.340617,0.448592,0.434025,0.506074,0.438537,0.544228,0.494195,0.610797,0.606727,0.588854,0.525877,0.743560,0.698313,0.601620,0.530276,0.619697,0.551020,0.622898,0.558786,0.616030,0.534266,0.577131,0.513061,0.606025,0.570451
2800,0.813586,0.817635,0.410999,0.351859,0.351654,0.348039,0.431343,0.387367,0.473687,0.386759,0.343320,0.329818,0.446956,0.428754,0.512509,0.435023,0.542825,0.488668,0.617939,0.612870,0.596874,0.528151,0.768220,0.712509,0.613222,0.529166,0.632019,0.554743,0.627647,0.559541,0.629423,0.531002,0.583034,0.514482,0.609157,0.571854
3000,0.834865,0.839130,0.418893,0.346028,0.344495,0.339496,0.434446,0.382597,0.485163,0.381465,0.338119,0.320823,0.445986,0.423826,0.519368,0.431726,0.541055,0.483007,0.622791,0.617307,0.605325,0.530552,0.790753,0.722411,0.623577,0.528354,0.644103,0.558734,0.632086,0.560205,0.643113,0.528341,0.588490,0.515725,0.611810,0.573067
