step,train_loss,val_bpb
200,8.802246,2.343978
400,7.306622,2.114453
600,6.757471,2.020020
800,6.493632,1.969250
1000,6.347402,1.929851
1200,6.224083,1.902725
1400,6.142635,1.876876
1600,6.067436,1.857156
1800,6.007974,1.843785
2000,5.947349,1.828330
2200,5.920499,1.815339
2400,5.888830,1.805387
2600,5.830835,1.792830
2800,5.805169,1.782475
3000,5.775368,1.774161
3200,5.735352,1.764893
3400,5.715156,1.758566
3600,5.690222,1.752425
3800,5.664716,1.743567
4000,5.643711,1.738518
4200,5.624334,1.732926
4400,5.610671,1.727624
4600,5.584844,1.721633
4800,5.592164,1.716606
5000,5.555662,1.711909
5200,5.542215,1.708701
5400,5.523086,1.704065
5600,5.505776,1.701075
5800,5.505071,1.697493
6000,5.489584,1.694030
6200,5.473445,1.691627
6400,5.475159,1.689811
6600,5.459220,1.687637
6800,5.455138,1.685882
7000,5.460754,1.683889
7200,5.446491,1.683129
7400,5.429942,1.681491
7600,5.423444,1.680308
7800,5.423710,1.679020
8000,5.430434,1.678802
