step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497823,0.497857,0.497000,0.496988,0.497046,0.497050,0.497648,0.497596,0.498121,0.497976,0.497872,0.497899,0.498425,0.498430,0.501643,0.501080,0.498628,0.498646,0.498648,0.498605,0.498376,0.498372,0.502963,0.502847,0.498820,0.498807,0.498510,0.498509,0.498360,0.498355,0.503112,0.503011,0.498914,0.498813,0.498552,0.498483,0.498324,0.498328,0.503108,0.503007,0.499546,0.499416,0.499082,0.498955,0.498463,0.498464,0.502971,0.502850
400,0.489686,0.489786,0.488067,0.488039,0.486613,0.486620,0.488528,0.488269,0.498271,0.489853,0.488789,0.488743,0.489371,0.489463,0.495197,0.493165,0.494527,0.493546,0.493099,0.493064,0.493480,0.493498,0.509840,0.508787,0.492023,0.492012,0.491673,0.491670,0.491429,0.491429,0.513611,0.513293,0.494523,0.491883,0.493645,0.491394,0.490003,0.490024,0.513319,0.512998,0.498697,0.495400,0.498055,0.494078,0.492306,0.492301,0.513407,0.512821
600,0.474894,0.474943,0.472745,0.472772,0.468714,0.468783,0.476296,0.475333,0.507597,0.480384,0.473750,0.473449,0.471869,0.472025,0.486714,0.482004,0.494818,0.488086,0.484004,0.483950,0.484482,0.484842,0.514982,0.509041,0.483297,0.482615,0.482264,0.481952,0.481986,0.482251,0.531061,0.530998,0.486908,0.482073,0.486154,0.481301,0.478763,0.478716,0.530797,0.529341,0.498918,0.486363,0.494623,0.483706,0.481897,0.481952,0.531035,0.527040
800,0.454463,0.454401,0.451086,0.451165,0.444637,0.444770,0.461555,0.459281,0.523932,0.469891,0.452385,0.451416,0.447584,0.447698,0.477119,0.468250,0.501172,0.481850,0.470658,0.470351,0.466847,0.467860,0.519233,0.507683,0.472755,0.470035,0.471034,0.469453,0.468048,0.468758,0.554715,0.555199,0.478023,0.470018,0.480490,0.469659,0.463932,0.463959,0.555373,0.549980,0.501240,0.472995,0.491964,0.468664,0.467388,0.467704,0.554345,0.543975
1000,0.432075,0.431824,0.427157,0.427270,0.418830,0.418964,0.446343,0.442123,0.545692,0.460327,0.430337,0.428131,0.421987,0.421782,0.467915,0.453432,0.513282,0.477124,0.452883,0.452030,0.441523,0.442904,0.523459,0.504751,0.467264,0.460713,0.462762,0.459297,0.449285,0.450592,0.577057,0.578236,0.474068,0.463648,0.476782,0.462121,0.452493,0.453150,0.581621,0.569165,0.505122,0.461438,0.492453,0.455596,0.454571,0.455655,0.577786,0.561982
1200,0.410577,0.410139,0.404285,0.404416,0.394805,0.394905,0.433892,0.427519,0.567410,0.452395,0.410903,0.406664,0.398889,0.398063,0.459749,0.439695,0.528121,0.473154,0.436460,0.434195,0.417105,0.418007,0.526234,0.500614,0.461992,0.452590,0.456977,0.452258,0.434475,0.432605,0.592622,0.594221,0.473226,0.460058,0.479623,0.460190,0.442405,0.443680,0.606851,0.593629,0.508848,0.453524,0.493950,0.444198,0.444293,0.445838,0.596696,0.577050
1400,0.390243,0.389636,0.383030,0.383153,0.372411,0.372424,0.422098,0.412823,0.590657,0.445652,0.398331,0.388997,0.377872,0.376243,0.453465,0.426360,0.543752,0.470483,0.424247,0.419521,0.394566,0.394718,0.528481,0.496820,0.458424,0.447016,0.451350,0.445675,0.417936,0.413303,0.602497,0.602928,0.475448,0.459990,0.484175,0.461779,0.433372,0.434202,0.632534,0.610576,0.512673,0.447849,0.497459,0.434583,0.435350,0.434724,0.619690,0.594314
1600,0.371805,0.370999,0.363290,0.363436,0.351597,0.351472,0.411982,0.399126,0.613545,0.440788,0.393341,0.373581,0.358856,0.356057,0.449895,0.414179,0.558613,0.466507,0.413479,0.405186,0.374354,0.373197,0.531184,0.492703,0.457224,0.443274,0.446186,0.439460,0.402635,0.393994,0.611223,0.608472,0.477153,0.460083,0.489678,0.464682,0.425284,0.422426,0.659874,0.628666,0.516853,0.442935,0.500680,0.425405,0.427869,0.424808,0.644644,0.604175
1800,0.354174,0.353215,0.345430,0.345572,0.332478,0.332098,0.402652,0.384908,0.636565,0.436736,0.397366,0.361997,0.342607,0.337818,0.448935,0.402100,0.576133,0.463322,0.404876,0.392035,0.355912,0.353345,0.534352,0.488307,0.456234,0.439350,0.441601,0.434093,0.389432,0.376255,0.618697,0.611909,0.481579,0.462935,0.496392,0.469249,0.417936,0.409081,0.690797,0.648025,0.522893,0.440101,0.504907,0.418591,0.421965,0.413052,0.668254,0.612743
