step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498435,0.498471,0.497381,0.497366,0.497156,0.497159,0.497633,0.497588,0.497644,0.497502,0.497958,0.497984,0.498370,0.498363,0.501740,0.501212,0.498385,0.498377,0.498197,0.498192,0.498202,0.498193,0.502851,0.502733,0.498958,0.498964,0.498632,0.498634,0.498381,0.498386,0.502945,0.502787,0.499149,0.499071,0.499079,0.499033,0.498738,0.498743,0.502960,0.502824,0.499183,0.499070,0.499222,0.499103,0.498640,0.498640,0.502784,0.502635
400,0.492288,0.492436,0.488137,0.488141,0.487152,0.487244,0.488669,0.488357,0.496366,0.489097,0.488026,0.487953,0.490388,0.490454,0.495827,0.494117,0.495696,0.493639,0.493449,0.493301,0.493971,0.493998,0.509505,0.508386,0.493650,0.493840,0.493673,0.493654,0.493060,0.493063,0.512983,0.512434,0.494344,0.491868,0.494445,0.492159,0.491824,0.491832,0.513316,0.512903,0.497057,0.494767,0.497404,0.494884,0.494227,0.494262,0.513203,0.512242
600,0.479666,0.479777,0.471670,0.471785,0.469110,0.469275,0.476906,0.475604,0.505618,0.479261,0.473581,0.472822,0.473721,0.473922,0.488287,0.483983,0.498410,0.487355,0.483905,0.483653,0.485066,0.485305,0.514714,0.509318,0.485738,0.486267,0.486216,0.485913,0.485366,0.485403,0.528791,0.527542,0.485301,0.479690,0.485065,0.480024,0.479658,0.479641,0.531142,0.528427,0.487824,0.483056,0.488146,0.483344,0.482688,0.482756,0.530619,0.525180
800,0.461444,0.461425,0.449147,0.449292,0.445022,0.445080,0.462617,0.459668,0.521484,0.468075,0.453066,0.451502,0.449602,0.449834,0.479400,0.471167,0.506961,0.481428,0.469331,0.468608,0.466585,0.467023,0.518398,0.507801,0.480105,0.478665,0.478735,0.477249,0.474114,0.474694,0.547792,0.544336,0.473013,0.463912,0.474259,0.465054,0.464425,0.464517,0.555372,0.543115,0.476708,0.468682,0.477232,0.469009,0.468718,0.468941,0.554299,0.540418
1000,0.440479,0.440296,0.425226,0.425403,0.419353,0.419249,0.449082,0.443717,0.543993,0.459231,0.431218,0.428117,0.423564,0.423556,0.470479,0.457166,0.520644,0.474650,0.451791,0.450117,0.442245,0.442871,0.520306,0.504048,0.476062,0.472976,0.473110,0.470499,0.459277,0.461931,0.559723,0.557729,0.464265,0.447890,0.467117,0.449496,0.448248,0.448295,0.582784,0.562025,0.471247,0.459762,0.472012,0.460651,0.461677,0.462196,0.578106,0.551446
1200,0.419934,0.419544,0.402389,0.402552,0.395324,0.395084,0.437103,0.428639,0.565862,0.451915,0.412522,0.406733,0.399648,0.399297,0.462344,0.443022,0.536790,0.469390,0.434709,0.431845,0.418215,0.418887,0.521956,0.498850,0.475008,0.469940,0.468830,0.465600,0.445385,0.450280,0.566795,0.563982,0.465231,0.439365,0.471607,0.437691,0.432277,0.430349,0.609617,0.580994,0.466849,0.449802,0.468192,0.450720,0.453478,0.454379,0.605586,0.566397
1400,0.400185,0.399614,0.381266,0.381430,0.372862,0.372472,0.427315,0.414805,0.590625,0.445876,0.399733,0.387328,0.377763,0.376873,0.456924,0.430244,0.554867,0.464932,0.420005,0.414599,0.395657,0.396394,0.522850,0.493805,0.475591,0.468237,0.466071,0.462288,0.430508,0.436108,0.570778,0.565330,0.467950,0.435948,0.479457,0.431796,0.419670,0.413853,0.628222,0.590250,0.463726,0.439634,0.465530,0.438708,0.444102,0.443934,0.632600,0.578982
1600,0.382257,0.381504,0.361531,0.361697,0.352058,0.351531,0.418844,0.400925,0.616176,0.442308,0.398187,0.371662,0.357804,0.356183,0.454407,0.417186,0.572786,0.460973,0.408706,0.399526,0.374094,0.374746,0.523896,0.487238,0.475671,0.465864,0.462275,0.458151,0.413842,0.420020,0.573724,0.564777,0.474380,0.437190,0.490149,0.433579,0.414956,0.400876,0.640685,0.596183,0.461008,0.429239,0.463559,0.426301,0.434755,0.433505,0.657734,0.592615
1800,0.365965,0.365003,0.343002,0.343174,0.332965,0.332171,0.412966,0.388492,0.643003,0.439076,0.407027,0.359492,0.340655,0.337479,0.455105,0.406082,0.592380,0.457901,0.401142,0.386672,0.354487,0.354737,0.525427,0.480937,0.475757,0.463018,0.458971,0.454558,0.400062,0.404743,0.575515,0.562834,0.480067,0.439228,0.500709,0.439025,0.413437,0.390566,0.648813,0.600182,0.462002,0.422222,0.463342,0.417633,0.427733,0.423836,0.673147,0.598384
