step,train_loss,val_bpb
200,8.611634,2.256419
400,6.905980,1.955369
600,6.231097,1.848959
800,5.934740,1.784226
1000,5.724093,1.731572
1200,5.571858,1.692012
1400,5.444787,1.661332
1600,5.354984,1.633157
1800,5.265821,1.612306
2000,5.207587,1.594348
2200,5.147404,1.579447
2400,5.102658,1.565152
2600,5.056684,1.552875
2800,5.017642,1.542905
3000,4.990473,1.533905
3200,4.963311,1.525411
3400,4.930595,1.517469
3600,4.905338,1.510629
3800,4.884562,1.504298
4000,4.860789,1.499104
4200,4.849183,1.493592
4400,4.828856,1.488736
4600,4.821256,1.483862
4800,4.799729,1.479998
5000,4.788319,1.476517
5200,4.773422,1.472942
5400,4.766218,1.469999
5600,4.755659,1.466567
5800,4.744942,1.464416
6000,4.733699,1.462057
6200,4.728126,1.459627
6400,4.725149,1.457425
6600,4.710407,1.456218
6800,4.713428,1.454021
7000,4.713678,1.452683
7200,4.707451,1.451817
7400,4.699482,1.450702
7600,4.691122,1.449764
7800,4.687048,1.449143
8000,4.694124,1.447768
