step,train_loss,val_bpb
200,8.736028,2.318103
400,7.227308,2.083262
600,6.638719,1.981968
800,6.363961,1.929271
1000,6.220388,1.892945
1200,6.097863,1.865540
1400,6.018106,1.840881
1600,5.942711,1.819744
1800,5.885099,1.807404
2000,5.818512,1.790061
2200,5.793887,1.777545
2400,5.760615,1.767309
2600,5.702217,1.758034
2800,5.676857,1.746012
3000,5.646611,1.736289
3200,5.605668,1.727026
3400,5.581867,1.720977
3600,5.558697,1.713351
3800,5.531151,1.706309
4000,5.507943,1.698831
4200,5.485640,1.691275
4400,5.472987,1.688017
4600,5.444487,1.681257
4800,5.451474,1.676431
5000,5.411270,1.669986
5200,5.395291,1.667457
5400,5.375981,1.661319
5600,5.354894,1.658168
5800,5.352584,1.653455
6000,5.335971,1.649861
6200,5.319732,1.647355
6400,5.319105,1.644950
6600,5.300792,1.641528
6800,5.297261,1.639459
7000,5.300524,1.636759
7200,5.286976,1.635833
7400,5.266022,1.634631
7600,5.258288,1.632372
7800,5.258530,1.631780
8000,5.263687,1.630165
