step,train_loss,val_bpb
200,8.466160,2.214081
400,6.764409,1.917579
600,6.125988,1.820433
800,5.834355,1.756314
1000,5.620981,1.701729
1200,5.472558,1.665872
1400,5.352997,1.634510
1600,5.271967,1.609560
1800,5.192253,1.591401
2000,5.143164,1.576669
2200,5.090608,1.561922
2400,5.050280,1.550218
2600,5.009963,1.537869
2800,4.972798,1.528675
3000,4.947923,1.519891
3200,4.921774,1.512646
3400,4.890535,1.504801
3600,4.865397,1.498065
3800,4.844248,1.493208
4000,4.820468,1.485912
4200,4.808232,1.480424
4400,4.786638,1.475743
4600,4.777559,1.470059
4800,4.755682,1.466579
5000,4.743164,1.461642
5200,4.726642,1.458625
5400,4.718317,1.455116
5600,4.706329,1.451451
5800,4.693676,1.448943
6000,4.681441,1.446001
6200,4.674594,1.443166
6400,4.670559,1.441167
6600,4.654280,1.438533
6800,4.655731,1.436500
7000,4.654184,1.434922
7200,4.647359,1.433057
7400,4.638699,1.432126
7600,4.630568,1.430552
7800,4.625087,1.430419
8000,4.631648,1.429643
