module,NAP,K,max_H,mean_H,median_H,min_H,dead_frac_pct,top1_pct
layers.0.qkv_lut,6,64,6.0,5.682454586029053,5.69128942489624,5.410942077636719,0.0,6.04596920311451
layers.0.v_lut,8,256,8.0,7.281455993652344,7.295436859130859,6.954553604125977,0.2665201900526881,4.192614555358887
layers.0.out_proj,8,256,8.0,6.945887565612793,6.963279724121094,6.198413372039795,0.482177734375,4.878437519073486
layers.0.residual_lut,6,64,6.0,5.443027496337891,5.431244850158691,5.193108558654785,0.0,7.288581132888794
layers.1.qkv_lut,6,64,6.0,5.400797367095947,5.415748596191406,5.063277244567871,0.0,7.832193374633789
layers.1.v_lut,8,256,8.0,6.938261032104492,6.946810245513916,6.3243513107299805,0.2583821536973119,4.493463039398193
layers.1.out_proj,8,256,8.0,7.354345798492432,7.37104606628418,6.761782646179199,0.0274658203125,2.7763575315475464
layers.1.residual_lut,6,64,6.0,5.672318458557129,5.667076110839844,5.38925838470459,0.0,5.404192209243774
layers.2.qkv_lut,6,64,6.0,5.626753330230713,5.648345947265625,5.168068885803223,0.5208333488553762,5.805595591664314
layers.2.v_lut,8,256,8.0,7.293140411376953,7.299824237823486,6.720560073852539,0.13020833721384406,3.222845122218132
layers.2.out_proj,8,256,8.0,7.108792304992676,7.126850128173828,6.313038349151611,0.0030517578125,3.8428932428359985
layers.2.residual_lut,6,64,6.0,5.654597759246826,5.6916399002075195,4.85208797454834,0.0,5.428200960159302
layers.3.qkv_lut,6,64,6.0,5.569810390472412,5.640774726867676,4.77097225189209,0.0,6.077428534626961
layers.3.v_lut,8,256,8.0,7.249069690704346,7.320437431335449,5.74008321762085,0.032552084303461015,3.098098374903202
layers.3.out_proj,8,256,8.0,6.527533054351807,6.5325093269348145,4.858646392822266,0.5462646484375,6.7267149686813354
layers.3.residual_lut,6,64,6.0,5.578154563903809,5.675918102264404,4.918797016143799,0.0,5.559223890304565
layers.4.qkv_lut,6,64,6.0,5.459873199462891,5.568017959594727,4.146373748779297,0.2766927005723119,6.550291925668716
layers.4.v_lut,8,256,8.0,7.127201080322266,7.278087615966797,5.742105960845947,0.6083170417696238,3.2981395721435547
layers.4.out_proj,8,256,8.0,4.452741622924805,4.508571624755859,2.3193857669830322,35.2783203125,23.49211573600769
layers.4.residual_lut,6,64,6.0,5.429741382598877,5.552469253540039,4.228461742401123,0.048828125,6.5133750438690186
layers.5.qkv_lut,6,64,6.0,5.339714050292969,5.431057929992676,4.013765811920166,0.11393228778615594,7.430461794137955
layers.5.v_lut,8,256,8.0,6.935459136962891,7.0620436668396,5.8589887619018555,3.17586250603199,3.847670555114746
layers.5.out_proj,8,256,8.0,0.6090527772903442,0.38648104667663574,-0.0,97.021484375,86.7806077003479
layers.5.residual_lut,6,64,6.0,4.79607629776001,4.8715996742248535,2.4717917442321777,28.90625,11.584651470184326
