step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498877,0.498947,0.497614,0.497633,0.497296,0.497292,0.497044,0.496897,0.498569,0.496548,0.496987,0.497016,0.497653,0.497652,0.498606,0.497960,0.499317,0.498074,0.497962,0.497935,0.499016,0.499028,0.500778,0.500277,0.499718,0.499690,0.499738,0.499740,0.499804,0.499802,0.502193,0.501777,0.499396,0.499385,0.499373,0.499367,0.499384,0.499386,0.502072,0.501655,0.499509,0.499425,0.499571,0.499508,0.499474,0.499478,0.502358,0.501976
400,0.495943,0.496275,0.491038,0.491356,0.487041,0.487018,0.490062,0.488919,0.504868,0.488022,0.487127,0.486822,0.487009,0.487003,0.494605,0.491680,0.507108,0.492868,0.490246,0.489640,0.493593,0.493607,0.502711,0.497912,0.497149,0.494809,0.495473,0.495509,0.497504,0.497551,0.509431,0.506380,0.497704,0.497394,0.497841,0.497557,0.497085,0.497126,0.511130,0.510130,0.498140,0.496397,0.498566,0.496745,0.495838,0.495825,0.511548,0.508945
600,0.486610,0.487244,0.476164,0.476780,0.469604,0.469551,0.481200,0.477905,0.519442,0.475213,0.471081,0.470022,0.468646,0.468506,0.491380,0.484042,0.520891,0.486315,0.476267,0.474404,0.483361,0.483107,0.503846,0.493328,0.499912,0.482448,0.483698,0.483008,0.485399,0.485534,0.515723,0.509098,0.498668,0.495729,0.498366,0.496272,0.493876,0.493848,0.522384,0.516619,0.499064,0.492288,0.499803,0.492643,0.493182,0.493305,0.521020,0.517407
800,0.466419,0.467142,0.452577,0.453214,0.445431,0.445240,0.469584,0.462362,0.543669,0.458871,0.449360,0.446904,0.444958,0.444485,0.490396,0.474458,0.541511,0.479397,0.458012,0.453379,0.464594,0.463780,0.506662,0.487700,0.515492,0.468622,0.467831,0.465389,0.462852,0.462820,0.520515,0.508441,0.501525,0.496361,0.499904,0.496238,0.491263,0.491440,0.536875,0.530214,0.499903,0.484623,0.500894,0.483572,0.486240,0.487144,0.531823,0.525369
1000,0.441365,0.442004,0.426538,0.427138,0.419656,0.419265,0.457077,0.443624,0.574254,0.444362,0.435907,0.422577,0.419974,0.418952,0.495078,0.464188,0.569782,0.471516,0.442689,0.430794,0.439782,0.438387,0.513511,0.481419,0.539381,0.457190,0.451775,0.445740,0.437563,0.437014,0.525615,0.505415,0.501154,0.492616,0.497340,0.491604,0.483586,0.482017,0.556857,0.547221,0.503194,0.473072,0.504565,0.473324,0.478079,0.475267,0.548650,0.531687
1200,0.417448,0.418003,0.402623,0.403181,0.395756,0.395144,0.447242,0.425849,0.606019,0.433652,0.449893,0.402276,0.397661,0.395369,0.503343,0.455338,0.601029,0.463720,0.442532,0.411398,0.416261,0.414153,0.521243,0.475469,0.566154,0.447206,0.439832,0.428788,0.414819,0.413360,0.529721,0.501657,0.498553,0.486947,0.491850,0.485352,0.478168,0.475355,0.569346,0.554039,0.509350,0.465731,0.512864,0.466769,0.473566,0.466931,0.560919,0.534881
1400,0.394640,0.395113,0.380073,0.380586,0.373732,0.372724,0.440406,0.408705,0.639298,0.424883,0.473497,0.387330,0.380022,0.373551,0.515166,0.447111,0.634509,0.455691,0.458648,0.394770,0.394361,0.391275,0.530740,0.469217,0.593260,0.440774,0.430827,0.412928,0.394724,0.391594,0.534215,0.497711,0.497786,0.480012,0.485281,0.477953,0.467460,0.464440,0.572871,0.556214,0.518637,0.463599,0.524086,0.465252,0.471233,0.460896,0.570345,0.537412
1600,0.373412,0.373773,0.358923,0.359400,0.354597,0.352048,0.436544,0.393756,0.673403,0.416275,0.500213,0.376932,0.380774,0.354187,0.525987,0.439651,0.668579,0.447661,0.481062,0.383142,0.376009,0.370536,0.538582,0.463046,0.621981,0.435080,0.428063,0.401203,0.379439,0.372358,0.537771,0.493892,0.501521,0.474467,0.479707,0.472117,0.453447,0.449288,0.574150,0.553278,0.524488,0.465592,0.533131,0.467690,0.470748,0.459468,0.579346,0.539975
1800,0.353561,0.353831,0.339362,0.339799,0.355992,0.332902,0.437187,0.378429,0.707745,0.407690,0.527705,0.371201,0.396789,0.336215,0.542002,0.431909,0.705172,0.439058,0.505936,0.377374,0.362342,0.351333,0.550013,0.456186,0.651138,0.428809,0.430503,0.390784,0.369218,0.354623,0.543207,0.489515,0.509126,0.470112,0.474083,0.466317,0.442320,0.434710,0.575607,0.548483,0.531000,0.471302,0.540303,0.474237,0.470722,0.457957,0.589721,0.544190
