step,train_loss,val_bpb
200,8.652708,2.297468
400,7.155118,2.062722
600,6.581718,1.966515
800,6.312542,1.915403
1000,6.169850,1.878625
1200,6.051218,1.849847
1400,5.973557,1.828843
1600,5.900761,1.808065
1800,5.843903,1.796726
2000,5.780726,1.780412
2200,5.755480,1.769019
2400,5.725125,1.756882
2600,5.670035,1.748294
2800,5.645641,1.736788
3000,5.616779,1.726412
3200,5.577418,1.719086
3400,5.552882,1.713334
3600,5.530525,1.705388
3800,5.503592,1.696971
4000,5.482181,1.690420
4200,5.460023,1.682812
4400,5.445391,1.678139
4600,5.417975,1.672166
4800,5.424464,1.667100
5000,5.384048,1.661144
5200,5.367698,1.659317
5400,5.349872,1.654047
5600,5.327226,1.649773
5800,5.324385,1.644807
6000,5.308675,1.641818
6200,5.290255,1.639577
6400,5.290559,1.636260
6600,5.271032,1.634033
6800,5.268120,1.632012
7000,5.271771,1.628649
7200,5.258563,1.626349
7400,5.237963,1.625707
7600,5.230909,1.624381
7800,5.231330,1.621676
8000,5.236348,1.621502
