step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.500016,0.500081,0.497301,0.497306,0.497612,0.497614,0.496887,0.496835,0.499348,0.497377,0.497879,0.497870,0.498725,0.498728,0.498997,0.498549,0.498221,0.497941,0.497739,0.497745,0.497920,0.497906,0.502771,0.502507,0.498972,0.498961,0.498863,0.498853,0.498531,0.498531,0.502986,0.502733,0.499329,0.499070,0.499194,0.498993,0.498727,0.498726,0.503045,0.502787,0.498315,0.498220,0.498401,0.498256,0.497918,0.497897,0.503051,0.502862
400,0.501075,0.501357,0.490007,0.490206,0.486811,0.486836,0.487901,0.487489,0.505690,0.492666,0.489264,0.489067,0.489568,0.489624,0.491493,0.489944,0.499778,0.495171,0.492758,0.492752,0.494236,0.494419,0.509010,0.506143,0.494884,0.494673,0.495351,0.495215,0.494719,0.494836,0.512829,0.511065,0.494029,0.493165,0.494437,0.493351,0.493010,0.493051,0.512927,0.511173,0.491539,0.490895,0.491531,0.490962,0.490645,0.490615,0.513174,0.512575
600,0.499635,0.500140,0.479755,0.480582,0.468974,0.468972,0.475646,0.474370,0.518663,0.489538,0.474537,0.473512,0.471721,0.471710,0.483505,0.479089,0.509226,0.493464,0.483824,0.483217,0.480770,0.481100,0.513570,0.503669,0.492087,0.490206,0.492528,0.491550,0.488354,0.489090,0.529123,0.520539,0.491089,0.483281,0.491052,0.483095,0.483020,0.483133,0.528280,0.525554,0.491805,0.486301,0.492209,0.486519,0.479430,0.479432,0.530624,0.526126
800,0.491766,0.492461,0.463834,0.465333,0.445408,0.445297,0.460186,0.457382,0.538735,0.486634,0.456710,0.453303,0.449151,0.448588,0.473375,0.464955,0.525432,0.492689,0.470894,0.469163,0.460540,0.460495,0.517344,0.499734,0.489988,0.486174,0.490564,0.488886,0.476563,0.478435,0.548895,0.532120,0.492866,0.474590,0.496611,0.470283,0.470040,0.469833,0.550677,0.548082,0.499700,0.484930,0.503658,0.485727,0.463680,0.463690,0.554935,0.541072
1000,0.476338,0.476851,0.443763,0.445598,0.420330,0.420015,0.443289,0.438326,0.563945,0.485482,0.444938,0.434040,0.426737,0.424621,0.462474,0.448546,0.546358,0.492642,0.457520,0.453430,0.439576,0.438669,0.520070,0.493620,0.488946,0.482104,0.487525,0.485520,0.463016,0.464290,0.560200,0.543647,0.501323,0.469880,0.509902,0.462828,0.462171,0.455892,0.578261,0.573090,0.511096,0.486036,0.514979,0.483369,0.446277,0.444331,0.584142,0.558191
1200,0.458563,0.458945,0.423833,0.425809,0.397075,0.396344,0.429647,0.421757,0.587140,0.483707,0.443837,0.418156,0.409920,0.403798,0.454125,0.433954,0.567441,0.491671,0.448174,0.440055,0.420061,0.417645,0.521974,0.486221,0.488042,0.477661,0.483988,0.481592,0.452821,0.450040,0.566108,0.549453,0.507819,0.466093,0.523177,0.462857,0.461601,0.445382,0.606825,0.594600,0.522735,0.487729,0.527471,0.484638,0.439275,0.428629,0.613066,0.574795
1400,0.441704,0.441710,0.404134,0.406107,0.376374,0.374500,0.417956,0.406188,0.612735,0.482091,0.453284,0.407562,0.399595,0.384974,0.448847,0.420656,0.589521,0.489607,0.441650,0.427412,0.403190,0.398176,0.523416,0.479047,0.489512,0.476272,0.481426,0.478827,0.445388,0.438175,0.569669,0.550576,0.515293,0.465904,0.534235,0.465524,0.463196,0.439219,0.633521,0.617185,0.532987,0.485689,0.538382,0.482642,0.439015,0.416613,0.639502,0.587095
1600,0.425463,0.425053,0.384837,0.386790,0.362622,0.354624,0.408319,0.391353,0.636767,0.480754,0.466475,0.400658,0.400115,0.368155,0.447063,0.407824,0.609198,0.487654,0.441065,0.418003,0.390750,0.380336,0.525414,0.471300,0.492113,0.474612,0.478788,0.475890,0.440737,0.428351,0.572358,0.549330,0.523820,0.466473,0.548163,0.471870,0.466141,0.435713,0.663126,0.645422,0.543844,0.486204,0.549542,0.481432,0.441565,0.408926,0.665623,0.597015
1800,0.410193,0.409409,0.366715,0.368633,0.366426,0.336981,0.401448,0.378285,0.659343,0.477635,0.483442,0.395841,0.409716,0.355002,0.448137,0.396762,0.630837,0.485492,0.442623,0.409190,0.383896,0.365077,0.527563,0.463889,0.495415,0.473476,0.475702,0.472415,0.437709,0.418460,0.572866,0.546127,0.532330,0.468571,0.559918,0.477098,0.468523,0.433576,0.694336,0.672605,0.554440,0.485162,0.561932,0.480642,0.445437,0.403259,0.690890,0.607964
2000,0.395463,0.394358,0.349335,0.351203,0.381829,0.322946,0.396514,0.366126,0.682162,0.472998,0.502535,0.392716,0.423950,0.344195,0.452361,0.386790,0.650811,0.482518,0.448280,0.402565,0.383935,0.351858,0.528968,0.455393,0.498067,0.471743,0.473138,0.469420,0.436460,0.410146,0.574054,0.543253,0.536965,0.469042,0.570767,0.481510,0.472684,0.432195,0.723248,0.696790,0.566045,0.483250,0.575985,0.477990,0.450180,0.399125,0.716277,0.620419
