step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.500108,0.500171,0.497924,0.497929,0.498080,0.498064,0.497147,0.497071,0.498721,0.497639,0.497953,0.497903,0.497988,0.498001,0.500318,0.499834,0.500471,0.500340,0.500396,0.500474,0.501348,0.501318,0.502909,0.502947,0.500382,0.500488,0.500520,0.500560,0.501547,0.501551,0.502789,0.502794,0.500785,0.500798,0.501101,0.501097,0.501707,0.501685,0.502625,0.502661,0.501324,0.501336,0.501144,0.501218,0.501975,0.501936,0.502782,0.502830
400,0.498211,0.498503,0.487345,0.487398,0.487687,0.487774,0.489034,0.488294,0.497280,0.488836,0.488639,0.487892,0.487113,0.487185,0.494419,0.492205,0.504132,0.500509,0.495356,0.495302,0.496944,0.496689,0.513493,0.512958,0.501897,0.502284,0.502413,0.502675,0.507130,0.507158,0.513818,0.513648,0.505522,0.506152,0.505829,0.506111,0.509297,0.509278,0.513585,0.513523,0.505711,0.506014,0.504799,0.505169,0.509519,0.509466,0.514024,0.513965
600,0.488750,0.489086,0.470839,0.471062,0.469366,0.469533,0.480778,0.478169,0.498305,0.475941,0.475165,0.473058,0.469265,0.469283,0.486402,0.481873,0.512133,0.497081,0.481980,0.481525,0.481502,0.480855,0.525627,0.521515,0.502191,0.500966,0.498515,0.498628,0.495868,0.495733,0.529205,0.528296,0.515348,0.516593,0.514772,0.515887,0.522078,0.522078,0.532134,0.531805,0.512281,0.513597,0.512849,0.513794,0.521953,0.521876,0.532680,0.532349
800,0.471656,0.471929,0.448776,0.449176,0.445276,0.445310,0.470557,0.465201,0.508703,0.460671,0.457116,0.453125,0.446167,0.445473,0.476016,0.468108,0.525029,0.493646,0.466108,0.464296,0.458685,0.457666,0.534236,0.524121,0.502443,0.499527,0.496383,0.496293,0.484402,0.480481,0.546043,0.544012,0.526644,0.529385,0.524737,0.527368,0.537759,0.537718,0.556934,0.555896,0.517361,0.519950,0.522326,0.524163,0.537078,0.536969,0.558305,0.557237
1000,0.451493,0.451589,0.424564,0.425025,0.419848,0.419562,0.459116,0.450070,0.528121,0.447739,0.441920,0.433278,0.424624,0.420893,0.465426,0.452237,0.540381,0.490342,0.451474,0.447220,0.434571,0.432669,0.542417,0.524466,0.504741,0.499915,0.495265,0.495139,0.478316,0.466517,0.558981,0.556117,0.526241,0.529127,0.528826,0.533814,0.545602,0.542070,0.585668,0.583061,0.524274,0.527183,0.531524,0.533407,0.545116,0.544316,0.587529,0.584878
1200,0.432013,0.431945,0.401686,0.402159,0.396425,0.395716,0.449318,0.436228,0.550036,0.436428,0.434061,0.416177,0.413964,0.399538,0.456118,0.437729,0.556374,0.486450,0.439485,0.431954,0.414295,0.409774,0.545829,0.520302,0.509474,0.501059,0.492858,0.492754,0.471825,0.454405,0.566113,0.561691,0.526249,0.522610,0.530567,0.532197,0.546188,0.523975,0.610771,0.606744,0.534809,0.528805,0.542403,0.535253,0.528294,0.525690,0.609717,0.604058
1400,0.412958,0.412553,0.380791,0.381288,0.375521,0.373891,0.439910,0.422281,0.575688,0.428985,0.433546,0.402725,0.417413,0.380910,0.448259,0.423434,0.573460,0.481376,0.429624,0.418063,0.398058,0.389066,0.548065,0.514611,0.514155,0.502024,0.489050,0.488964,0.464911,0.443205,0.570343,0.564258,0.526447,0.520517,0.535237,0.534555,0.553635,0.507754,0.636850,0.625042,0.546897,0.521714,0.554254,0.527367,0.513065,0.507959,0.633512,0.616633
1600,0.395149,0.394416,0.360944,0.361426,0.357195,0.353805,0.432564,0.409350,0.600487,0.422168,0.440020,0.392248,0.431036,0.365171,0.443064,0.409887,0.591681,0.475141,0.423341,0.406116,0.388129,0.370447,0.548860,0.507313,0.518385,0.502659,0.485222,0.485164,0.459109,0.433332,0.572257,0.563890,0.527984,0.520098,0.539821,0.537525,0.561941,0.496161,0.662179,0.636806,0.558703,0.510159,0.564992,0.518766,0.503788,0.488482,0.657847,0.622703
1800,0.379585,0.378511,0.342642,0.343126,0.344612,0.335868,0.426042,0.396348,0.626291,0.415956,0.450763,0.383056,0.448996,0.352913,0.440893,0.398224,0.610389,0.469815,0.418268,0.395132,0.385027,0.354222,0.549933,0.499738,0.523045,0.502739,0.482712,0.482486,0.453911,0.423338,0.573965,0.562592,0.531823,0.522170,0.544464,0.540337,0.572057,0.488118,0.689063,0.645316,0.569406,0.500089,0.575465,0.512500,0.503007,0.471896,0.681487,0.626694
