step,train_loss,val_bpb
200,8.712991,2.315834
400,7.249323,2.090544
600,6.684767,1.990419
800,6.402455,1.934062
1000,6.248928,1.893395
1200,6.124761,1.865439
1400,6.042613,1.843389
1600,5.966456,1.821895
1800,5.908011,1.810245
2000,5.843054,1.790353
2200,5.816326,1.779073
2400,5.782967,1.768716
2600,5.725561,1.756794
2800,5.700490,1.747085
3000,5.670934,1.737242
3200,5.631526,1.729039
3400,5.609779,1.723904
3600,5.586874,1.716597
3800,5.561108,1.708729
4000,5.539624,1.704419
4200,5.517704,1.695826
4400,5.505423,1.690218
4600,5.480385,1.684720
4800,5.487510,1.680096
5000,5.449627,1.675408
5200,5.436036,1.672788
5400,5.419247,1.667760
5600,5.398949,1.665055
5800,5.397767,1.660654
6000,5.382962,1.657625
6200,5.368148,1.655641
6400,5.370206,1.653237
6600,5.352022,1.650947
6800,5.349325,1.649173
7000,5.355197,1.646458
7200,5.341772,1.645665
