step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.500599,0.500659,0.499415,0.499438,0.496884,0.496817,0.500277,0.498333,0.499270,0.499218,0.499723,0.499186,0.499734,0.499496,0.499671,0.499687,0.502672,0.502537,0.498465,0.498415,0.498294,0.498297,0.503031,0.502822,0.499502,0.499071,0.499456,0.499095,0.503084,0.502919,0.499341,0.499247,0.499441,0.499339,0.503155,0.502980
400,0.506154,0.506319,0.498863,0.499220,0.487928,0.487512,0.508060,0.496907,0.495573,0.494614,0.493664,0.491672,0.500555,0.498366,0.497670,0.497814,0.509473,0.507993,0.497915,0.497252,0.497855,0.497453,0.511891,0.510127,0.496150,0.494647,0.495999,0.494672,0.512740,0.510892,0.495986,0.493335,0.496636,0.493570,0.512690,0.511442
600,0.517859,0.518129,0.501133,0.502287,0.475905,0.474413,0.522654,0.496072,0.487488,0.483369,0.485181,0.480390,0.506440,0.496419,0.491260,0.490917,0.516249,0.511431,0.502065,0.497591,0.503969,0.498897,0.528430,0.523680,0.502503,0.488077,0.502479,0.488183,0.525449,0.517421,0.487225,0.484042,0.488208,0.484200,0.527812,0.523280
800,0.530005,0.530495,0.496444,0.498734,0.462378,0.459264,0.543213,0.493919,0.473032,0.464175,0.475772,0.467604,0.517429,0.493792,0.482855,0.481781,0.520419,0.509775,0.507849,0.502937,0.512330,0.505946,0.547324,0.532789,0.507962,0.479492,0.508688,0.478280,0.544621,0.529626,0.482075,0.473494,0.486009,0.474237,0.546458,0.541284
1000,0.535473,0.535889,0.481497,0.484508,0.448078,0.442443,0.569031,0.492047,0.459768,0.442434,0.466070,0.452589,0.531336,0.492886,0.474200,0.471756,0.523437,0.506061,0.516138,0.510473,0.521441,0.514012,0.565918,0.545894,0.511775,0.475119,0.512080,0.472124,0.558954,0.539062,0.474057,0.465891,0.480376,0.468006,0.560250,0.550182
1200,0.526895,0.527016,0.462236,0.465416,0.435021,0.426316,0.592551,0.485896,0.453179,0.422103,0.457649,0.438095,0.546969,0.491995,0.465655,0.461339,0.524281,0.499681,0.521242,0.514089,0.526107,0.517483,0.588416,0.559894,0.519350,0.470708,0.520920,0.468614,0.574849,0.545869,0.481177,0.458457,0.487009,0.459246,0.575036,0.555126
1400,0.517326,0.517095,0.441603,0.444788,0.423641,0.411006,0.618595,0.479989,0.457637,0.404375,0.452396,0.424944,0.563442,0.490436,0.459562,0.451921,0.524233,0.493133,0.524898,0.515840,0.527122,0.517917,0.611088,0.569939,0.527041,0.468569,0.529135,0.464342,0.592413,0.550490,0.486658,0.450837,0.493875,0.449567,0.587126,0.557880
1600,0.503161,0.502404,0.420523,0.423626,0.413751,0.395890,0.643347,0.474265,0.469407,0.390412,0.450568,0.411964,0.580162,0.488747,0.453361,0.441790,0.524830,0.486056,0.524042,0.512946,0.526147,0.516763,0.625554,0.584075,0.532623,0.465133,0.538344,0.461138,0.606877,0.554545,0.493590,0.442950,0.500604,0.439963,0.595908,0.559973
1800,0.488780,0.487689,0.400463,0.403448,0.406423,0.381762,0.668772,0.467947,0.485167,0.378398,0.452002,0.400034,0.596395,0.486777,0.450128,0.433318,0.525464,0.479479,0.521809,0.508353,0.523234,0.513569,0.633103,0.594168,0.538603,0.461744,0.551370,0.460635,0.619676,0.557629,0.500820,0.436642,0.509461,0.431771,0.604193,0.561609
