step,train_loss,val_bpb
200,8.960844,2.349882
400,7.968293,2.301919
600,7.848733,2.297058
800,7.706128,2.241298
1000,7.577931,2.216326
1200,7.424683,2.165387
1400,7.276877,2.134834
1600,7.186038,2.096972
1800,7.100961,2.069723
2000,7.006781,2.076301
2200,7.013558,2.041567
2400,6.972765,2.025191
2600,6.911614,2.021693
2800,6.928151,2.020087
3000,6.879522,2.009975
3200,6.834767,1.999866
3400,6.835943,1.995489
3600,6.818058,1.988224
3800,6.793121,1.978838
4000,6.792843,1.975479
4200,6.760346,1.968637
4400,6.740387,1.963979
4600,6.725544,1.964558
4800,6.725595,1.955888
5000,6.662999,1.958638
5200,6.687541,1.966492
5400,6.653744,1.947181
5600,6.688977,1.940836
5800,6.682033,1.939410
6000,6.651317,1.938021
6200,6.612199,1.933920
6400,6.594440,1.934438
6600,6.584317,1.930331
6800,6.616490,1.929519
7000,6.612290,1.930443
7200,6.587418,1.929600
7400,6.604198,1.925654
7600,6.589528,1.921622
7800,6.576360,1.924625
8000,6.579157,1.922317
