stage,step,train_loss
0,1,10.547953
0,100,9.617229
0,200,8.246555
0,300,7.374348
0,400,6.877098
0,500,6.587975
0,600,6.409214
0,700,6.288283
0,800,6.190680
0,900,6.129430
0,1000,6.080820
0,1100,6.020087
0,1200,5.983481
0,1300,5.955558
0,1400,5.916111
0,1500,5.878546
0,1600,5.848429
0,1700,5.810221
0,1800,5.796134
0,1900,5.770387
0,2000,5.734105
0,2100,5.726462
0,2200,5.714098
0,2300,5.692602
0,2400,5.685752
0,2500,5.659869
0,2600,5.632312
0,2700,5.611735
0,2800,5.612897
0,2900,5.596442
0,3000,5.588972
0,3100,5.570435
0,3200,5.557209
0,3300,5.550220
0,3400,5.541602
0,3500,5.538184
0,3600,5.529998
0,3700,5.530324
0,3800,5.514692
0,3900,5.511565
0,4000,5.506076
1,1,5.560105
1,100,5.512253
1,200,5.515131
1,300,5.536160
1,400,5.547619
1,500,5.563663
1,600,5.566574
1,700,5.556370
1,800,5.535161
1,900,5.531200
1,1000,5.515757
1,1100,5.485208
1,1200,5.486247
1,1300,5.477281
1,1400,5.457421
1,1500,5.437944
1,1600,5.425530
1,1700,5.402830
1,1800,5.403881
1,1900,5.385020
1,2000,5.359132
1,2100,5.364530
1,2200,5.361562
1,2300,5.347251
1,2400,5.346444
1,2500,5.329148
1,2600,5.310814
1,2700,5.291466
1,2800,5.302301
1,2900,5.290635
1,3000,5.287035
1,3100,5.274194
1,3200,5.264574
1,3300,5.256380
1,3400,5.250717
1,3500,5.251210
1,3600,5.246415
1,3700,5.247804
1,3800,5.234679
1,3900,5.233520
1,4000,5.230972
