step,train_loss,val_bpb
200,8.654444,2.298064
400,7.137898,2.055067
600,6.563762,1.960757
800,6.303837,1.913178
1000,6.169610,1.875988
1200,6.055344,1.851211
1400,5.980661,1.831045
1600,5.910502,1.810839
1800,5.859466,1.800585
2000,5.800351,1.784452
2200,5.779633,1.775309
2400,5.751948,1.765842
2600,5.699173,1.756352
2800,5.677719,1.746621
3000,5.650175,1.736812
3200,5.616084,1.731031
3400,5.592635,1.724632
3600,5.573933,1.717940
3800,5.547636,1.710856
4000,5.526967,1.705334
4200,5.507393,1.698407
4400,5.495998,1.693731
4600,5.468930,1.688575
4800,5.477212,1.682725
5000,5.438310,1.678485
5200,5.421680,1.674269
5400,5.404855,1.670053
5600,5.384909,1.666135
5800,5.383487,1.661987
6000,5.367393,1.658890
6200,5.349252,1.656026
6400,5.350258,1.653254
6600,5.331684,1.649757
6800,5.328740,1.648762
7000,5.333144,1.646786
7200,5.317835,1.645085
7400,5.297109,1.643409
7600,5.290149,1.642790
7800,5.290985,1.640563
8000,5.295736,1.640236
