step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.499105,0.499173,0.497422,0.497418,0.496319,0.496319,0.496909,0.496852,0.500271,0.498444,0.497913,0.497836,0.497359,0.497358,0.500010,0.499007,0.500412,0.499638,0.499241,0.499196,0.499111,0.499062,0.503115,0.502932,0.500900,0.500863,0.500781,0.500704,0.499756,0.499657,0.503214,0.503086,0.500540,0.500487,0.500934,0.500872,0.500275,0.500239,0.503288,0.503204,0.500406,0.500448,0.500188,0.500277,0.500354,0.500329,0.503281,0.503185
400,0.499185,0.499407,0.488692,0.488726,0.485513,0.485449,0.487683,0.487177,0.508702,0.495854,0.490482,0.489105,0.486711,0.486538,0.494455,0.491228,0.507487,0.500311,0.495769,0.494939,0.490038,0.489591,0.510575,0.507224,0.503496,0.503152,0.502601,0.502457,0.499508,0.497760,0.513960,0.513640,0.504947,0.504790,0.506172,0.505994,0.502316,0.501085,0.514288,0.514030,0.504907,0.504642,0.505477,0.505278,0.500979,0.499909,0.514268,0.513988
600,0.500356,0.500707,0.473136,0.473247,0.468037,0.467788,0.475038,0.473211,0.526192,0.496428,0.481274,0.474748,0.470300,0.469536,0.488656,0.480823,0.523964,0.505966,0.488356,0.485071,0.474915,0.473531,0.518247,0.504558,0.506003,0.504579,0.502951,0.502719,0.500270,0.494758,0.531310,0.530911,0.512455,0.512042,0.515255,0.514799,0.507302,0.500209,0.532827,0.532358,0.514014,0.513500,0.513922,0.513322,0.503384,0.498644,0.532943,0.532505
800,0.499955,0.500202,0.451321,0.451523,0.445212,0.444456,0.460746,0.456573,0.551687,0.501430,0.477665,0.457521,0.452295,0.449239,0.482702,0.468340,0.548280,0.516327,0.480674,0.472466,0.457014,0.453090,0.524921,0.500453,0.510656,0.506566,0.504274,0.503733,0.504213,0.492828,0.554232,0.553985,0.521392,0.520282,0.531413,0.530682,0.519535,0.503756,0.557861,0.557237,0.526010,0.525077,0.525510,0.524594,0.511049,0.500346,0.558450,0.557664
1000,0.493995,0.493912,0.427235,0.427518,0.421881,0.419680,0.446013,0.438514,0.580541,0.508020,0.488022,0.440967,0.436469,0.428167,0.477454,0.454260,0.577382,0.524787,0.477793,0.459685,0.439316,0.430722,0.530760,0.494624,0.511192,0.505576,0.503864,0.503135,0.509575,0.489951,0.579651,0.578776,0.530789,0.529077,0.548857,0.548700,0.532217,0.508798,0.587714,0.586980,0.539359,0.536961,0.541379,0.540272,0.522017,0.502625,0.587791,0.587210
1200,0.485221,0.485086,0.404467,0.404780,0.403455,0.396914,0.432281,0.420729,0.610119,0.510950,0.505151,0.428939,0.427097,0.408660,0.473545,0.440006,0.607578,0.530690,0.478242,0.447781,0.427666,0.410883,0.535830,0.488055,0.513346,0.504794,0.501378,0.500553,0.511964,0.483750,0.604849,0.603181,0.544167,0.541851,0.567554,0.566143,0.545507,0.512330,0.619024,0.618186,0.552311,0.549163,0.558253,0.556997,0.534955,0.505118,0.617986,0.617576
1400,0.474299,0.473959,0.383098,0.383414,0.395792,0.376484,0.422047,0.405484,0.641192,0.514343,0.527263,0.420413,0.426009,0.392930,0.471878,0.428036,0.637741,0.532475,0.482389,0.437285,0.419763,0.392719,0.539159,0.480374,0.514968,0.503056,0.499465,0.498393,0.512914,0.477557,0.625501,0.622719,0.554570,0.551175,0.583532,0.581647,0.560943,0.516822,0.652277,0.651240,0.565316,0.560161,0.574412,0.572470,0.546646,0.506263,0.649807,0.649177
1600,0.462451,0.461895,0.362742,0.363066,0.401813,0.358771,0.413311,0.390509,0.671862,0.514722,0.550603,0.413840,0.432273,0.378250,0.472346,0.416112,0.666873,0.532637,0.490230,0.429153,0.418263,0.376399,0.542751,0.472974,0.516654,0.500768,0.495397,0.494140,0.513755,0.471629,0.642592,0.637245,0.565390,0.560505,0.598468,0.597510,0.575788,0.521353,0.684622,0.682711,0.575077,0.568813,0.587350,0.584630,0.557995,0.507208,0.683553,0.682961
1800,0.449819,0.449054,0.343656,0.343953,0.415735,0.343488,0.407073,0.376719,0.702729,0.512177,0.573327,0.409117,0.443611,0.365750,0.474725,0.405024,0.695265,0.530072,0.500662,0.421821,0.421623,0.362332,0.546051,0.464923,0.519481,0.498917,0.491725,0.490354,0.510683,0.463090,0.652699,0.642922,0.572791,0.565765,0.613940,0.612243,0.589213,0.525095,0.719732,0.715553,0.584438,0.576543,0.599136,0.593955,0.568233,0.508273,0.718471,0.718017
