step,train_loss,val_bpb
200,8.379475,2.187819
400,6.686731,1.899595
600,6.057675,1.796859
800,5.737824,1.722910
1000,5.516068,1.671525
1200,5.357434,1.627500
1400,5.230081,1.598516
1600,5.139407,1.571780
1800,5.064768,1.550997
2000,5.000543,1.533984
2200,4.947520,1.518708
2400,4.906496,1.508120
2600,4.860929,1.498978
2800,4.825109,1.485138
3000,4.791295,1.477712
3200,4.765126,1.468664
3400,4.739970,1.462371
3600,4.715422,1.454243
3800,4.697278,1.449739
4000,4.671017,1.443330
4200,4.655089,1.437118
4400,4.635289,1.432223
4600,4.619861,1.426864
4800,4.606674,1.422707
5000,4.588339,1.418190
5200,4.581829,1.414047
5400,4.569072,1.411240
5600,4.552154,1.408017
5800,4.537228,1.404912
6000,4.535423,1.402426
6200,4.523958,1.399822
6400,4.510166,1.397295
6600,4.502402,1.394862
6800,4.493578,1.392594
7000,4.494321,1.390858
7200,4.487709,1.389550
7400,4.482829,1.387888
7600,4.476225,1.386804
7800,4.471990,1.385650
8000,4.473987,1.385143
