step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.500347,0.500407,0.498568,0.498574,0.498619,0.498641,0.496967,0.496911,0.499814,0.498129,0.499131,0.499189,0.498890,0.498883,0.500197,0.499618,0.499519,0.499139,0.499304,0.499312,0.498841,0.498770,0.502737,0.502526,0.499189,0.499136,0.498775,0.498722,0.498301,0.498260,0.503009,0.502804,0.499211,0.498730,0.499167,0.498678,0.498267,0.498230,0.503050,0.502851,0.499977,0.499528,0.499921,0.499507,0.498889,0.498888,0.503073,0.502877
400,0.504433,0.504695,0.499562,0.499847,0.491643,0.491746,0.488511,0.488050,0.506987,0.496549,0.493860,0.494104,0.491543,0.491538,0.493124,0.491334,0.504523,0.498934,0.496697,0.496768,0.496191,0.495916,0.508764,0.506817,0.499208,0.498172,0.499951,0.499607,0.495675,0.495352,0.512734,0.510214,0.499186,0.494093,0.499243,0.493091,0.493105,0.492535,0.512527,0.510894,0.500098,0.495680,0.500301,0.495081,0.494001,0.494171,0.512520,0.511476
600,0.510052,0.510621,0.508738,0.509783,0.476011,0.475878,0.477278,0.475778,0.520226,0.497855,0.483698,0.483602,0.475991,0.475662,0.483545,0.479532,0.517039,0.500328,0.491361,0.491437,0.489858,0.488692,0.512221,0.505644,0.500801,0.498376,0.504533,0.503630,0.495366,0.491931,0.528162,0.516046,0.504696,0.488007,0.506253,0.483883,0.492860,0.484408,0.529627,0.523307,0.506600,0.491871,0.507989,0.490462,0.489610,0.485241,0.529255,0.526127
800,0.512154,0.513008,0.524306,0.526439,0.455024,0.454482,0.463976,0.460997,0.540455,0.500534,0.469077,0.467305,0.457293,0.455338,0.471647,0.464365,0.535332,0.501106,0.482959,0.482816,0.480736,0.478280,0.514022,0.501548,0.504791,0.499795,0.507449,0.506169,0.496784,0.491448,0.545796,0.521274,0.512059,0.484124,0.517747,0.476250,0.502725,0.486018,0.551771,0.538346,0.514636,0.487519,0.518222,0.485241,0.496390,0.482614,0.549989,0.547225
1000,0.507670,0.508914,0.541441,0.544729,0.432888,0.431291,0.450168,0.445353,0.564130,0.503997,0.456848,0.450786,0.441334,0.434896,0.459732,0.448026,0.556007,0.501272,0.473236,0.472473,0.471362,0.465957,0.513847,0.494555,0.506694,0.498142,0.508288,0.506237,0.497726,0.490704,0.559417,0.525129,0.514829,0.479012,0.527048,0.471745,0.511160,0.491148,0.572509,0.556014,0.520750,0.482693,0.526202,0.479196,0.504049,0.485490,0.567876,0.559589
1200,0.497722,0.499070,0.554939,0.559197,0.416469,0.411665,0.436820,0.429264,0.586509,0.505731,0.450840,0.437256,0.435865,0.417838,0.449948,0.431443,0.576319,0.501217,0.462951,0.460951,0.465456,0.455316,0.513985,0.487133,0.508890,0.496189,0.507161,0.504449,0.496100,0.488500,0.573089,0.529768,0.517215,0.477971,0.538597,0.468421,0.520973,0.496246,0.585880,0.565570,0.522986,0.475434,0.529273,0.471110,0.513886,0.489980,0.583998,0.565320
1400,0.485213,0.486583,0.562409,0.567296,0.408004,0.394964,0.424970,0.413869,0.609504,0.504497,0.450977,0.425739,0.441522,0.404466,0.444129,0.416778,0.596810,0.499769,0.453711,0.449584,0.462277,0.445885,0.514641,0.480233,0.510499,0.494440,0.504341,0.501467,0.491401,0.483606,0.579573,0.532546,0.516817,0.474065,0.551223,0.467601,0.533771,0.504232,0.594745,0.571745,0.521734,0.469660,0.527801,0.463379,0.523570,0.494484,0.597546,0.568623
1600,0.470625,0.471853,0.565937,0.571269,0.410147,0.380514,0.415382,0.399556,0.630225,0.501115,0.456786,0.416458,0.455481,0.394297,0.442792,0.404222,0.614750,0.497056,0.445181,0.438238,0.461792,0.437124,0.514960,0.472576,0.510831,0.492603,0.503069,0.500116,0.489014,0.480485,0.584111,0.534701,0.518285,0.473178,0.564507,0.466031,0.544465,0.510540,0.601006,0.576033,0.518821,0.464599,0.524481,0.457451,0.533207,0.498858,0.609787,0.571010
1800,0.454831,0.455944,0.566203,0.571688,0.421612,0.369686,0.407997,0.386379,0.649627,0.497475,0.465558,0.408177,0.474192,0.387269,0.445452,0.392739,0.633701,0.493933,0.437585,0.426757,0.463551,0.428661,0.515004,0.465330,0.512656,0.491326,0.501453,0.498508,0.486390,0.476311,0.585852,0.535908,0.521239,0.472274,0.578969,0.466326,0.557698,0.517400,0.605956,0.579826,0.514502,0.458811,0.516787,0.448121,0.543350,0.503556,0.619344,0.572897
