step,train_loss,val_bpb
200,8.645660,2.294221
400,7.160619,2.065988
600,6.593929,1.970474
800,6.332225,1.921705
1000,6.194393,1.893422
1200,6.074210,1.856645
1400,5.999872,1.834360
1600,5.927969,1.815187
1800,5.870610,1.805353
2000,5.806487,1.788127
2200,5.786012,1.777115
2400,5.753982,1.766684
2600,5.699482,1.757970
2800,5.677194,1.746117
3000,5.649558,1.737069
3200,5.610955,1.728636
3400,5.587927,1.722243
3600,5.567477,1.716971
3800,5.541035,1.709230
4000,5.519673,1.702383
4200,5.498220,1.697481
4400,5.486236,1.692190
4600,5.459626,1.686662
4800,5.468035,1.681596
5000,5.426318,1.676450
5200,5.412091,1.673318
5400,5.393964,1.667602
5600,5.373453,1.665061
5800,5.371370,1.660127
6000,5.354167,1.656754
6200,5.338102,1.653767
6400,5.338597,1.652251
6600,5.318150,1.648036
6800,5.316331,1.645356
7000,5.320465,1.644992
7200,5.306776,1.641749
7400,5.286411,1.640584
7600,5.279131,1.640484
7800,5.280308,1.637646
8000,5.284729,1.637236
