step,train_loss,val_bpb
200,8.656787,2.298123
400,7.160944,2.066825
600,6.588758,1.966131
800,6.325695,1.918789
1000,6.188464,1.884489
1200,6.069049,1.853136
1400,5.992725,1.833490
1600,5.920750,1.818173
1800,5.864932,1.804012
2000,5.799394,1.785826
2200,5.775851,1.774712
2400,5.744490,1.764756
2600,5.689353,1.751002
2800,5.665503,1.742838
3000,5.636917,1.733271
3200,5.597481,1.723135
3400,5.574811,1.719266
3600,5.554345,1.714547
3800,5.524598,1.703256
4000,5.503337,1.698712
4200,5.480282,1.689575
4400,5.468697,1.685581
4600,5.440909,1.679084
4800,5.448221,1.675166
5000,5.406473,1.667705
5200,5.391835,1.666491
5400,5.372086,1.658889
5600,5.352584,1.654703
5800,5.349626,1.651330
6000,5.332775,1.647821
6200,5.314756,1.643672
6400,5.315389,1.642889
6600,5.296066,1.639720
6800,5.293352,1.637436
7000,5.297355,1.635485
7200,5.283427,1.633690
7400,5.262231,1.632777
7600,5.254015,1.631526
7800,5.255571,1.629873
8000,5.260826,1.629012
