step,train_loss,val_bpb
200,9.026980,2.487309
400,7.404972,2.059947
600,6.466920,1.883130
800,6.040552,1.800860
1000,5.798567,1.745603
1200,5.623716,1.694504
1400,5.476646,1.654079
1600,5.359127,1.620761
1800,5.254060,1.593455
2000,5.164482,1.570374
2200,5.094067,1.549577
2400,5.033064,1.532058
2600,4.981053,1.515340
2800,4.927286,1.500966
3000,4.879309,1.495167
3200,4.845831,1.477615
3400,4.811480,1.468222
3600,4.784629,1.460402
3800,4.753556,1.454047
4000,4.733663,1.450164
4200,4.708760,1.441114
4400,4.686443,1.434025
4600,4.671213,1.429870
4800,4.654006,1.424865
5000,4.637687,1.419636
5200,4.621869,1.414867
5400,4.609571,1.411466
5600,4.598547,1.408130
5800,4.589448,1.404539
6000,4.578399,1.405396
6200,4.558121,1.397377
6400,4.548733,1.396664
6600,4.544262,1.390672
6800,4.530914,1.388408
7000,4.525139,1.386241
7200,4.515208,1.384234
7400,4.511438,1.380884
7600,4.501733,1.378973
7800,4.495124,1.376976
8000,4.480041,1.374923
8200,4.476906,1.372901
8400,4.472936,1.370894
8600,4.460610,1.368743
8800,4.461497,1.366620
9000,4.447150,1.365595
9200,4.446365,1.363220
9400,4.440779,1.361445
9600,4.437362,1.359986
9800,4.428463,1.358559
10000,4.427019,1.357050
10200,4.419322,1.355764
10400,4.416846,1.354480
