step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497536,0.497665,0.497254,0.497176,0.498094,0.497882,0.498424,0.498315,0.498232,0.498040,0.498667,0.498516,0.499239,0.499107,0.500484,0.500306,0.498679,0.498360,0.499826,0.499663,0.498722,0.498470,0.499692,0.499556
400,0.489596,0.490373,0.488827,0.488479,0.493860,0.492530,0.492955,0.492340,0.492371,0.490971,0.492067,0.491355,0.495532,0.494511,0.500365,0.498775,0.495328,0.493589,0.498306,0.497171,0.495401,0.493893,0.499910,0.498419
600,0.476854,0.479359,0.476722,0.475939,0.489010,0.484717,0.484405,0.482769,0.483297,0.479077,0.480627,0.479089,0.488665,0.485483,0.498812,0.494778,0.489608,0.484549,0.495646,0.492746,0.489739,0.485184,0.502885,0.498788
800,0.459731,0.464294,0.460321,0.458902,0.481539,0.471931,0.472272,0.468832,0.474844,0.464246,0.465591,0.462781,0.478274,0.470682,0.494430,0.486686,0.481169,0.469752,0.493541,0.487133,0.482040,0.472441,0.509382,0.501031
1000,0.440335,0.446257,0.444366,0.441455,0.476560,0.458469,0.459651,0.453309,0.470560,0.448367,0.450791,0.445668,0.471524,0.454536,0.488530,0.475459,0.478187,0.455226,0.491424,0.480493,0.478855,0.459784,0.516950,0.503331
1200,0.423078,0.429564,0.428129,0.423762,0.473373,0.445671,0.448607,0.437847,0.469367,0.433313,0.437594,0.429218,0.466566,0.438170,0.482959,0.464856,0.477033,0.440396,0.490289,0.474362,0.477246,0.447663,0.526587,0.506668
1400,0.407578,0.413848,0.416614,0.409299,0.475270,0.436322,0.441709,0.425121,0.475347,0.420708,0.428869,0.415080,0.469648,0.423880,0.477055,0.453313,0.483142,0.428566,0.489414,0.468171,0.480257,0.437519,0.534453,0.507834
1600,0.393692,0.399235,0.407306,0.395519,0.477583,0.427997,0.438313,0.413517,0.486824,0.411100,0.424851,0.402021,0.476410,0.411979,0.472447,0.442679,0.491099,0.417913,0.487851,0.459742,0.485532,0.427129,0.540540,0.507420
1800,0.382929,0.386865,0.401041,0.383590,0.481077,0.420951,0.439877,0.404097,0.499280,0.403590,0.427191,0.392869,0.486700,0.402740,0.469441,0.432495,0.502238,0.409175,0.488736,0.452963,0.492549,0.418025,0.546829,0.506882
2000,0.373482,0.375067,0.397904,0.373116,0.487670,0.415271,0.445567,0.395229,0.514416,0.396226,0.431747,0.385188,0.499023,0.393747,0.468527,0.422366,0.516920,0.400828,0.490135,0.446231,0.502128,0.409491,0.552744,0.505451
2200,0.365806,0.364135,0.398192,0.363887,0.496560,0.411501,0.455535,0.390577,0.528817,0.390466,0.441639,0.379632,0.515329,0.386684,0.469743,0.414115,0.534244,0.393741,0.492574,0.440737,0.514116,0.403322,0.556583,0.502264
