step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,7.239040e+01,5.585752e-01,7.716150e-03
200,unembedder.weight,1.053464e+02,1.548923e+01,1.470314e-01
200,layers.0.qkv_lut.weights,4.660714e+00,4.459904e+00,9.569142e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.980874e-01,4.940212e-03,7.076781e-03
200,layers.0.qkv_lut.log_select_temp,6.978288e-01,4.681647e-03,6.708876e-03
200,layers.0.out_proj.weights,2.307558e+00,2.195917e+00,9.516191e-01
200,layers.0.out_proj.log_soft_score_temp,6.986551e-01,5.507886e-03,7.883556e-03
200,layers.0.out_proj.log_select_temp,6.988106e-01,5.663395e-03,8.104335e-03
200,layers.0.q_norm.weight,8.013803e+00,1.626182e-02,2.029227e-03
200,layers.0.q_norm.bias,8.941229e-03,8.941229e-03,1.000000e+00
200,layers.0.k_norm.weight,8.013537e+00,1.594409e-02,1.989644e-03
200,layers.0.k_norm.bias,6.910628e-03,6.910628e-03,1.000000e+00
200,layers.0.ln_pre.weight,6.934239e+00,8.401636e-03,1.211616e-03
200,layers.0.ln_pre.bias,5.151332e-03,5.151332e-03,1.000000e+00
200,layers.1.qkv_lut.weights,4.394863e+00,4.195076e+00,9.545409e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.969667e-01,3.819525e-03,5.480212e-03
200,layers.1.qkv_lut.log_select_temp,6.973926e-01,4.245460e-03,6.087618e-03
200,layers.1.out_proj.weights,2.064902e+00,1.945066e+00,9.419652e-01
200,layers.1.out_proj.log_soft_score_temp,6.963033e-01,3.156126e-03,4.532688e-03
200,layers.1.out_proj.log_select_temp,6.965222e-01,3.374994e-03,4.845494e-03
200,layers.1.q_norm.weight,8.018673e+00,2.343271e-02,2.922268e-03
200,layers.1.q_norm.bias,1.656865e-02,1.656865e-02,1.000000e+00
200,layers.1.k_norm.weight,8.017817e+00,2.236146e-02,2.788971e-03
200,layers.1.k_norm.bias,2.168475e-02,2.168475e-02,1.000000e+00
200,layers.1.ln_pre.weight,6.931034e+00,7.320030e-03,1.056124e-03
200,layers.1.ln_pre.bias,4.595765e-03,4.595765e-03,1.000000e+00
200,layers.2.qkv_lut.weights,4.469250e+00,4.271988e+00,9.558625e-01
200,layers.2.qkv_lut.log_soft_score_temp,6.966905e-01,3.543317e-03,5.085927e-03
200,layers.2.qkv_lut.log_select_temp,6.970754e-01,3.928244e-03,5.635321e-03
